"technology_relation_id","product_id","technology_name","technology_type","relationship_description","source_id"
"sap_concur_technology_cloud","sap_concur","Cloud computing","deployment","O portfólio é entregue como solução em nuvem; Concur Expense é descrito como software cloud-based.","sap_source_009"
"sap_concur_technology_mobile","sap_concur","Tecnologia móvel","client","O aplicativo SAP Concur oferece captura de recibos e gestão em movimento.","sap_source_004"
"sap_concur_technology_ai","sap_concur","Artificial Intelligence","ai","IA embutida automatiza despesas, viagens e contas a pagar.","sap_source_002"
"sap_concur_technology_machine_learning","sap_concur","Machine Learning","ai","A SAP relaciona ML à automação e conformidade de travel and expense.","sap_source_007"
"sap_concur_technology_generative_ai","sap_concur","Generative AI","ai","Usada em Joule, assistência de políticas, recomendações e itemização.","sap_source_011"
"sap_concur_technology_apis","sap_concur","Open APIs","integration","APIs permitem integrações personalizadas e extensões.","sap_source_010"
"sap_concur_technology_ocr","sap_concur","Optical Character Recognition","document_processing","OCR captura dados de faturas para processamento.","sap_source_016"
"sap_concur_technology_analytics","sap_concur","Data and Analytics","analytics","Painéis, relatórios e integração analítica apoiam decisões de gastos.","sap_source_003"
"sap_concur_technology_btp","sap_concur","SAP BTP","platform","Base de integração do processo Travel-to-Reimburse.","sap_source_005"
"sap_btp_technology_paas","sap_btp","Platform as a Service","cloud_platform","Ambientes fornecem runtimes e ferramentas para desenvolver e administrar aplicações.","sap_source_037"
"sap_btp_technology_cloud_foundry","sap_btp","Cloud Foundry","runtime","Runtime PaaS poliglota e cloud-native.","sap_source_040"
"sap_btp_technology_kubernetes","sap_btp","Kubernetes and Kyma","runtime","Executa aplicações e agentes containerizados em Kyma runtime.","sap_source_046"
"sap_btp_technology_abap","sap_btp","ABAP Cloud","runtime","Permite extensões e aplicações ABAP no ambiente SAP BTP.","sap_source_042"
"sap_btp_technology_cap","sap_btp","Cloud Application Programming Model","development_framework","Framework para aplicações empresariais Java e JavaScript/TypeScript.","sap_source_046"
"sap_btp_technology_api","sap_btp","APIs and OData","integration","Conectam aplicações, agentes e ferramentas empresariais.","sap_source_046"
"sap_btp_technology_events","sap_btp","Event-driven architecture","integration","Advanced Event Mesh e eventos conectam sistemas de forma assíncrona.","sap_source_048"
"sap_btp_technology_hana","sap_btp","SAP HANA Cloud","database","Banco multimodelo e fundação de dados para aplicações e IA.","sap_source_045"
"sap_btp_technology_vector","sap_btp","Vector Engine","ai_data","Suporta busca de similaridade e padrões RAG.","sap_source_046"
