"feature_id","product_id","feature_name","feature_category","feature_description","purpose","problem_solved","source_id","language_code","last_verified_at"
"sap_concur_feature_expense_lifecycle","sap_concur","Gestão do ciclo de despesas","expense_management","Automatiza criação, processamento, aprovação, lançamento financeiro e pagamento de relatórios de despesas.","Acelerar o ciclo de despesas e reembolso.","Trabalho manual, atrasos e erros em relatórios de despesas.","sap_source_004","pt-BR","2026-08-19"
"sap_concur_feature_receipt_capture","sap_concur","Captura de recibos","expense_management","Captura recibos e usa os dados para gerar transações e preencher despesas.","Reduzir digitação manual.","Entrada manual e incompleta de dados de recibos.","sap_source_003","pt-BR","2026-08-19"
"sap_concur_feature_mobile_expense","sap_concur","Gestão móvel de despesas","mobile","Permite capturar recibos, criar, enviar, revisar e aprovar despesas pelo aplicativo móvel SAP Concur.","Executar tarefas em qualquer lugar.","Dependência do desktop e atrasos em submissões e aprovações.","sap_source_001","pt-BR","2026-08-19"
"sap_concur_feature_policy_controls","sap_concur","Controles de política","compliance","Aplica políticas de gastos, sinaliza entradas incompletas e apoia verificações antes da submissão.","Aumentar conformidade.","Gastos fora de política e retrabalho.","sap_source_003","pt-BR","2026-08-19"
"sap_concur_feature_travel_booking","sap_concur","Reserva e gestão de viagens","travel_management","Captura reservas e coordena o fluxo desde solicitação e aprovação até alterações de viagem.","Conectar planejamento, reserva e controle de viagens.","Reservas fragmentadas e baixa visibilidade do gasto de viagem.","sap_source_001","pt-BR","2026-08-19"
"sap_concur_feature_travel_recommendations","sap_concur","Recomendações de viagem","travel_management","Apresenta opções relevantes de voo e carro considerando preferências, política e conveniência.","Acelerar a escolha de opções adequadas.","Busca demorada e escolhas fora de política.","sap_source_013","pt-BR","2026-08-19"
"sap_concur_feature_invoice_capture","sap_concur","Captura de faturas","invoice_management","Recebe faturas por canais físicos ou eletrônicos, extrai dados por OCR e encaminha para aprovação e pagamento.","Automatizar entrada e roteamento de faturas.","Digitação manual, erros e demora em contas a pagar.","sap_source_016","pt-BR","2026-08-19"
"sap_concur_feature_invoice_workflow","sap_concur","Fluxo de contas a pagar","invoice_management","Automatiza processos de contas a pagar e ajuda a evitar pagamentos duplicados ou incorretos.","Controlar o processamento de faturas.","Pagamentos duplicados, incorretos e pouca visibilidade de caixa.","sap_source_002","pt-BR","2026-08-19"
"sap_concur_feature_reporting_analytics","sap_concur","Relatórios e análises","analytics","Oferece painéis e relatórios para visualizar padrões de gastos e apoiar decisões.","Dar visibilidade aos gastos.","Dados dispersos e dificuldade de identificar padrões.","sap_source_003","pt-BR","2026-08-19"
"sap_concur_feature_financial_connectors","sap_concur","Conectores financeiros","integration","Integra dados com ERP, CRM, RH, contabilidade, cartões e reservas.","Unificar dados de gastos e processos financeiros.","Silos entre SAP Concur e sistemas corporativos.","sap_source_003","pt-BR","2026-08-19"
"sap_concur_feature_open_apis","sap_concur","APIs abertas","extensibility","Permite integrações personalizadas além dos conectores prontos.","Estender o portfólio ao cenário do cliente.","Necessidades de integração não cobertas por conectores padrão.","sap_source_010","pt-BR","2026-08-19"
"sap_concur_feature_sustainable_travel","sap_concur","Opções de viagem sustentáveis","sustainability","Orienta viajantes para opções sustentáveis por meio de alternativas e dados de itinerário.","Incorporar sustentabilidade ao planejamento de viagens.","Falta de informação ambiental na escolha de itinerários.","sap_source_001","pt-BR","2026-08-19"
"sap_concur_feature_audit_checks","sap_concur","Verificações de auditoria","compliance","Usa regras e recursos de auditoria para detectar problemas antes ou durante a revisão.","Melhorar precisão e conformidade.","Erros, anomalias e violações de política.","sap_source_025","pt-BR","2026-08-19"
"sap_concur_feature_spend_requests","sap_concur","Solicitações de gastos","spend_management","Automatiza e simplifica solicitações e aprovações de gastos com Concur Request.","Controlar gastos antes que ocorram.","Ausência de aprovação e contexto antes do gasto.","sap_source_024","pt-BR","2026-08-19"
"sap_btp_feature_app_dev","sap_btp","Desenvolvimento de aplicações","application_development","Cria aplicações empresariais com abordagens low-code, pro-code, ABAP e modelos cloud-native.","Entregar aplicações e extensões com diferentes perfis de desenvolvimento.","Ciclos longos e ferramentas desconectadas.","sap_source_026","pt-BR","2026-08-19"
"sap_btp_feature_clean_core","sap_btp","Extensibilidade clean core","extensibility","Cria extensões side-by-side para SAP e aplicações de terceiros sem alterar o núcleo.","Preservar estabilidade e capacidade de atualização do core.","Customizações acopladas ao ERP.","sap_source_039","pt-BR","2026-08-19"
"sap_btp_feature_automation","sap_btp","Automação de processos","automation","Modela workflows, decisões, RPA e automações híbridas com lógica determinística e IA.","Automatizar tarefas e processos ponta a ponta.","Trabalho manual e fluxos fragmentados.","sap_source_039","pt-BR","2026-08-19"
"sap_btp_feature_integration","sap_btp","Integração empresarial","integration","Conecta agentes, aplicações, dados, APIs, eventos e processos em cenários SAP e não SAP.","Unificar paisagens híbridas e multicloud.","Silos e integrações ponto a ponto.","sap_source_035","pt-BR","2026-08-19"
"sap_btp_feature_prebuilt_content","sap_btp","Conteúdo de integração predefinido","integration","Disponibiliza milhares de integrações e aceleradores predefinidos.","Acelerar implementação e reutilização.","Esforço elevado para construir integrações do zero.","sap_source_035","pt-BR","2026-08-19"
"sap_btp_feature_data_foundation","sap_btp","Fundação de dados","data_management","Conecta dados empresariais, aplicações e casos de IA de forma governada.","Fornecer contexto confiável para aplicações e IA.","Dados fragmentados e sem semântica comum.","sap_source_045","pt-BR","2026-08-19"
"sap_btp_feature_analytics","sap_btp","Analytics e planejamento","analytics","Reúne capacidades analíticas e de planejamento no ambiente unificado do SAP BTP.","Transformar dados em decisões e valor empresarial.","Relatórios e planejamento desconectados.","sap_source_028","pt-BR","2026-08-19"
"sap_btp_feature_ai_agents","sap_btp","Desenvolvimento de agentes de IA","artificial_intelligence","Permite criar, implantar e executar agentes low-code e pro-code conectados a processos e dados SAP.","Automatizar tarefas complexas com contexto empresarial.","IA genérica sem contexto, integração e governança.","sap_source_046","pt-BR","2026-08-19"
"sap_btp_feature_ai_governance","sap_btp","Governança de IA","artificial_intelligence","Aplica segurança, controles éticos, rastreabilidade e gestão de modelos, prompts e agentes.","Escalar IA empresarial de modo controlado.","Riscos de segurança, conformidade e decisões não auditáveis.","sap_source_036","pt-BR","2026-08-19"
"sap_btp_feature_platform_ops","sap_btp","Administração e operações","platform_operations","Centraliza configuração, monitoramento, lifecycle management e controles em ambientes híbridos e cloud-native.","Operar aplicações e serviços em escala.","Complexidade operacional e controles dispersos.","sap_source_038","pt-BR","2026-08-19"
"sap_btp_feature_iam","sap_btp","Identidade e autorização","security","Gerencia confiança, autenticação, autorizações e coleções de funções para usuários de plataforma e negócio.","Controlar acesso a contas, serviços e aplicações.","Acesso inconsistente e gestão descentralizada de identidades.","sap_source_043","pt-BR","2026-08-19"
"sap_btp_feature_hybrid_connectivity","sap_btp","Conectividade híbrida","connectivity","Conecta SAP BTP a sistemas on-premise e private cloud a partir de runtimes suportados.","Integrar sistemas sem exigir migração integral.","Isolamento entre nuvem e sistemas privados.","sap_source_041","pt-BR","2026-08-19"
"sap_btp_feature_cost_monitoring","sap_btp","Monitoramento de uso e custos","platform_operations","Acompanha consumo e custos de serviços no global account pelo SAP BTP cockpit.","Controlar consumo e orçamento.","Baixa visibilidade sobre uso de serviços.","sap_source_050","pt-BR","2026-08-19"
"sap_btp_feature_trial","sap_btp","Trial e free tier","adoption","Oferece trial de 90 dias e planos de free tier para aprendizado, prototipagem e testes.","Reduzir barreira para experimentar serviços.","Custo e complexidade inicial de avaliação.","sap_source_044","pt-BR","2026-08-19"
"sap_s4hana_gestao_financeira","sap_s4hana","Gestão financeira","finance","Contabilidade, fechamento, tesouraria, risco, receita e caixa integrados.","Operar finanças com visão transacional e analítica.","Fechamentos lentos e dados financeiros dispersos.","sap_source_054","pt-BR","2026-08-19"
"sap_s4hana_sourcing_e_procurement","sap_s4hana","Sourcing e procurement","procurement","Requisições, compras, recebimento, fornecedores e controle de gastos.","Integrar source-to-pay ao núcleo ERP.","Compras manuais e baixa rastreabilidade.","sap_source_065","pt-BR","2026-08-19"
"sap_s4hana_vendas","sap_s4hana","Vendas","sales","Order-to-cash, preços, entregas, faturamento e gestão comercial.","Conectar demanda, execução logística e receita.","Pedidos desconectados de estoque e finanças.","sap_source_066","pt-BR","2026-08-19"
"sap_s4hana_manufatura","sap_s4hana","Manufatura","manufacturing","Planejamento e execução de produção com dados operacionais integrados.","Planejar e produzir de forma responsiva.","Baixa sincronização entre demanda, materiais e chão de fábrica.","sap_source_067","pt-BR","2026-08-19"
"sap_s4hana_supply_chain","sap_s4hana","Supply chain","supply_chain","Planejamento, logística, estoque e execução da cadeia.","Elevar visibilidade e resiliência operacional.","Estoques excessivos, rupturas e baixa previsibilidade.","sap_source_054","pt-BR","2026-08-19"
"sap_s4hana_asset_management","sap_s4hana","Asset management","asset_management","Manutenção, ordens, ativos técnicos e histórico operacional.","Maximizar disponibilidade de ativos.","Paradas não planejadas e manutenção reativa.","sap_source_068","pt-BR","2026-08-19"
"sap_s4hana_service_management","sap_s4hana","Service management","service","Processos de atendimento, contratos, ordens e execução de serviços.","Gerir serviços conectados a logística e finanças.","Atendimento fragmentado e baixa rentabilidade de serviços.","sap_source_069","pt-BR","2026-08-19"
"sap_s4hana_embedded_analytics","sap_s4hana","Embedded analytics","analytics","Relatórios, KPIs e análises no contexto das transações.","Tomar decisões com dados atuais sem replicações desnecessárias.","Relatórios tardios e informação desconectada.","sap_source_054","pt-BR","2026-08-19"
"sap_s4hana_sap_fiori","sap_s4hana","SAP Fiori","user_experience","Experiência baseada em funções para desktop e dispositivos móveis.","Simplificar a interação com tarefas empresariais.","Interfaces complexas e baixa adoção.","sap_source_057","pt-BR","2026-08-19"
"sap_s4hana_modelo_de_dados_simplificado","sap_s4hana","Modelo de dados simplificado","data_model","Estruturas otimizadas para SAP HANA e processamento em memória.","Unificar transações e analytics.","Redundância e agregados persistidos em arquiteturas legadas.","sap_source_057","pt-BR","2026-08-19"
"sap_s4hana_clean_core_extensibility","sap_s4hana","Clean core extensibility","extensibility","Extensões cloud-compliant, side-by-side e APIs preservam o núcleo.","Adaptar processos com menor dívida técnica.","Customizações invasivas que dificultam upgrades.","sap_source_060","pt-BR","2026-08-19"
