"use_case_id","product_id","use_case_name","situation","how_product_is_used","expected_result","business_area","industry","source_id","language_code"
"sap_concur_use_case_001_travel_to_reimburse","sap_concur","Viagem até reembolso","Funcionários precisam planejar viagens, solicitar aprovação, registrar despesas e receber reembolso.","SAP Concur integra planejamento, reserva, solicitação, relatório de despesas, lançamento financeiro e reembolso.","Processo contínuo com visibilidade e menor retrabalho.","Viagens e finanças","","sap_source_005","pt-BR"
"sap_concur_use_case_002_mobile_expense","sap_concur","Prestação de contas móvel","Funcionários estão viajando e precisam registrar recibos e despesas sem esperar retornar ao escritório.","O aplicativo captura recibos e permite criar e enviar relatórios; gestores podem aprovar pelo celular.","Submissões e aprovações mais rápidas.","Finanças","","sap_source_004","pt-BR"
"sap_concur_use_case_003_policy_compliance","sap_concur","Conformidade de despesas","A empresa precisa reduzir gastos fora de política e erros em relatórios.","Regras, alertas, IA e auditoria verificam relatórios e orientam usuários.","Maior consistência e foco da equipe de finanças em exceções.","Finanças e compliance","Setores regulados","sap_source_025","pt-BR"
"sap_concur_use_case_004_business_travel","sap_concur","Reserva de viagem corporativa","Viajantes precisam escolher voos, carros e hotéis considerando política e preferência.","Concur Travel organiza opções e recomendações no fluxo de reserva.","Escolhas mais rápidas, convenientes e alinhadas à política.","Viagens corporativas","","sap_source_013","pt-BR"
"sap_concur_use_case_005_invoice_automation","sap_concur","Automação de faturas","Contas a pagar recebe faturas em vários canais e precisa digitá-las, aprová-las e pagá-las.","Concur Invoice captura dados por OCR e roteia faturas para aprovação e pagamento.","Menos entrada manual e maior controle do processo.","Contas a pagar","","sap_source_016","pt-BR"
"sap_concur_use_case_006_financial_posting","sap_concur","Integração de lançamentos financeiros","A organização precisa levar dados de despesas ao ERP com precisão.","A integração com SAP S/4HANA replica dados de origem e envia documentos para lançamento, processamento e reembolso.","Lançamento financeiro integrado e rastreável.","Finanças e TI","","sap_source_006","pt-BR"
"sap_concur_use_case_007_public_sector","sap_concur","Gestão de viagens no setor público","Entidades públicas dos EUA precisam de ambiente alinhado aos controles FedRAMP.","Concur Cloud for Public Sector oferece a solução principal em AWS GovCloud com controles específicos.","Operação de travel and expense em ambiente voltado a requisitos governamentais.","Setor público","Governo e educação nos EUA","sap_source_007","pt-BR"
"sap_concur_use_case_008_sustainable_travel","sap_concur","Planejamento de viagem sustentável","A empresa quer considerar sustentabilidade nas escolhas de viagem.","SAP Concur apresenta opções e dados de itinerário sustentáveis.","Decisões de viagem mais alinhadas às metas ambientais e orçamentárias.","Viagens e sustentabilidade","","sap_source_001","pt-BR"
"sap_btp_use_case_001_clean_core","sap_btp","Extensão clean core","Uma empresa precisa adicionar funcionalidades ao ERP sem modificar o núcleo.","Desenvolve extensão side-by-side com SAP Build, ABAP Cloud ou CAP no SAP BTP.","Core mais estável e extensões independentes.","TI e desenvolvimento","","sap_source_039","pt-BR"
"sap_btp_use_case_002_financial_close","sap_btp","Fechamento financeiro automatizado","Finanças precisa reduzir tarefas manuais do fechamento.","Combina automação de processos e insights inteligentes.","Atividades de fechamento mais rápidas e controladas.","Finanças","","sap_source_033","pt-BR"
