"integration_id","product_id","integrated_product","integrated_product_id","integration_scope","integration_type","purpose","description","source_id","last_verified_at"
"sap_concur_integration_s4hana","sap_concur","SAP S/4HANA","","sap_internal","prebuilt","Replicar dados de origem e realizar lançamento, processamento e reembolso de documentos financeiros.","Integração oficial para SAP S/4HANA e SAP S/4HANA Cloud.","sap_source_006","2026-08-19"
"sap_concur_integration_successfactors","sap_concur","SAP SuccessFactors","","sap_internal","suite_integration","Compartilhar dados de funcionários no processo Travel-to-Reimburse.","Participa do processo integrado com SAP Concur e SAP S/4HANA sobre SAP BTP.","sap_source_005","2026-08-19"
"sap_concur_integration_btp","sap_concur","SAP Business Technology Platform","","sap_internal","integration_foundation","Orquestrar integração, dados, identidade e processo Travel-to-Reimburse.","SAP BTP é a base de integração do cenário apresentado pela SAP.","sap_source_005","2026-08-19"
"sap_concur_integration_analytics_cloud","sap_concur","SAP Analytics Cloud","","sap_internal","analytics","Analisar dados de despesas e conformidade.","A SAP mantém conteúdo oficial de integração e modelos para histórias analíticas.","sap_source_010","2026-08-19"
"sap_concur_integration_cloud_identity","sap_concur","SAP Cloud Identity Services","","sap_internal","identity","Autenticar, oferecer SSO e provisionar identidades.","IAS e IPS apoiam acesso e ciclo de vida de identidades no cenário SAP Concur.","sap_source_005","2026-08-19"
"sap_concur_integration_quickbooks","sap_concur","QuickBooks","","external","api","Sincronizar dados contábeis por Financial Integration Service.","Integração usa APIs da plataforma SAP Concur.","sap_source_023","2026-08-19"
"sap_concur_integration_payment_cards","sap_concur","Parceiros de cartões corporativos","","external","api_data_feed","Importar dados de cartões e alinhar transações a despesas.","APIs e feeds de cartão reduzem entrada manual e consolidam dados.","sap_source_022","2026-08-19"
"sap_concur_integration_tmc_gds","sap_concur","TMCs e GDSs","","external","travel_content","Conectar conteúdo e operação de reservas de viagens.","Concur Travel oferece integrações flexíveis e suporte a TMCs e GDSs.","sap_source_002","2026-08-19"
"sap_concur_integration_enterprise_systems","sap_concur","ERP, CRM, RH e sistemas contábeis","","unspecified","connectors","Unificar dados de gastos com sistemas corporativos existentes.","Conectores financeiros apoiam uma visão unificada de gastos.","sap_source_003","2026-08-19"
"sap_btp_integration_sap_apps","sap_btp","Aplicações SAP","","sap_internal","prebuilt_and_api","Estender e conectar processos e dados SAP.","Integrações, APIs, eventos e extensões alinhadas ao core.","sap_source_026","2026-08-19"
"sap_btp_integration_third_party","sap_btp","Aplicações de terceiros","","external","api_event_connector","Integrar dados, aplicações, agentes e processos não SAP.","SAP Integration Suite e APIs suportam landscapes heterogêneos.","sap_source_035","2026-08-19"
"sap_btp_integration_onprem","sap_btp","Sistemas on-premise e private cloud","","unspecified","secure_connectivity","Conectar runtimes SAP BTP a sistemas privados.","Suporta cenários híbridos sem migrar todos os sistemas.","sap_source_041","2026-08-19"
"sap_btp_integration_hyperscalers","sap_btp","AWS, Microsoft Azure, Google Cloud e Alibaba Cloud","","external","infrastructure","Hospedar regiões e workloads sobre provedores de infraestrutura suportados.","SAP BTP usa fundação multicloud com provedores regionais.","sap_source_037","2026-08-19"
"sap_btp_integration_bdc","sap_btp","SAP Business Data Cloud","","sap_internal","data_foundation","Fornecer dados e contexto empresarial para aplicações e IA.","SAP Business AI Platform unifica BTP, BDC e Business AI.","sap_source_030","2026-08-19"
"sap_btp_integration_joule","sap_btp","Joule","","sap_internal","agent_interface","Disponibilizar e orquestrar agentes desenvolvidos no SAP BTP.","Agentes low-code e pro-code podem ser integrados ao Joule.","sap_source_046","2026-08-19"
"sap_btp_integration_identity","sap_btp","SAP Cloud Identity Services","","sap_internal","oidc_saml","Autenticar, provisionar e federar usuários.","Suporta OIDC e SAML 2.0 para usuários de plataforma e negócio.","sap_source_043","2026-08-19"
"sap_btp_integration_models","sap_btp","Foundation models de múltiplos provedores","","external","generative_ai_hub","Acessar modelos por API harmonizada e orquestração empresarial.","Generative AI Hub em SAP AI Core oferece acesso e controles.","sap_source_046","2026-08-19"
"sap_btp_integration_concur","sap_btp","SAP Concur solutions","sap_concur","sap_internal","business_process_integration","Orquestrar cenários como Travel-to-Reimburse.","SAP BTP funciona como base de integração entre SAP Concur, SuccessFactors e S/4HANA.","sap_source_005","2026-08-19"
"sap_btp_integration_s4hana","sap_btp","SAP S/4HANA e SAP Cloud ERP","","sap_internal","extension_integration","Criar extensões clean core e integrar processos empresariais.","SAP Build e Integration Suite ampliam aplicações ERP.","sap_source_039","2026-08-19"
"sap_s4hana_sap_business_technology_platform","sap_s4hana","SAP Business Technology Platform","sap_btp","Extensões e integração","platform","Preservar clean core e conectar aplicações.","SAP BTP fornece desenvolvimento, automação, dados, IA e Integration Suite.","sap_source_061","2026-08-19"
"sap_s4hana_sap_integration_suite","sap_s4hana","SAP Integration Suite","","Integração empresarial","iPaaS","Conectar SAP e terceiros.","APIs, eventos, adaptadores e fluxos gerenciados.","sap_source_061","2026-08-19"
"sap_s4hana_sap_successfactors","sap_s4hana","SAP SuccessFactors","","Human resources","cloud_integration","Conectar pessoas, estrutura organizacional e ERP.","Integra cenários de força de trabalho e finanças.","sap_source_071","2026-08-19"
"sap_s4hana_sap_ariba","sap_s4hana","SAP Ariba","","Spend management","cloud_integration","Estender sourcing, fornecedores e colaboração.","Conecta procurement externo ao núcleo ERP.","sap_source_071","2026-08-19"
"sap_s4hana_sap_concur","sap_s4hana","SAP Concur","sap_concur","Travel and expense","cloud_integration","Integrar viagens e despesas às finanças.","Transfere dados relevantes para contabilização e controle.","sap_source_071","2026-08-19"
"sap_s4hana_sap_fieldglass","sap_s4hana","SAP Fieldglass","","External workforce","cloud_integration","Integrar trabalhadores externos e serviços.","Conecta gestão da força de trabalho externa a processos ERP.","sap_source_071","2026-08-19"
"sap_s4hana_sap_analytics_cloud","sap_s4hana","SAP Analytics Cloud","","Analytics and planning","cloud_integration","Planejar e analisar dados empresariais.","Amplia planejamento e visualização além do analytics incorporado.","sap_source_071","2026-08-19"
"sap_s4hana_sap_business_network","sap_s4hana","SAP Business Network","","Business network","network_integration","Colaborar com parceiros e fornecedores.","Conecta processos de cadeia e procurement a participantes externos.","sap_source_071","2026-08-19"
"sap_s4hana_third_party_applications","sap_s4hana","Third-party applications","","Enterprise landscape","API_event","Integrar aplicações não SAP.","Usa APIs, eventos e Integration Suite conforme o cenário.","sap_source_061","2026-08-19"
"sap_s4hana_sap_cloud_alm","sap_s4hana","SAP Cloud ALM","","Application lifecycle","operations","Implementar e operar soluções cloud.","Suporta implementação, monitoramento e operações.","sap_source_058","2026-08-19"
"sap_successfactors_integration_001_item","sap_successfactors","SAP S/4HANA","sap_s4hana","ERP and HR","cloud_integration","Conectar pessoas, finanças e estrutura organizacional","Integra cenários de força de trabalho e ERP","sap_source_094","2026-08-19"
"sap_successfactors_integration_002_item","sap_successfactors","SAP Business Technology Platform","sap_btp","Extensions and integration","platform","Estender e integrar a suite","APIs e Integration Suite suportam cenários híbridos","sap_source_094","2026-08-19"
"sap_successfactors_integration_003_item","sap_successfactors","SAP Analytics Cloud","","Planning and analytics","cloud_integration","Ampliar planejamento e visualização","Integra analytics e planejamento","sap_source_091","2026-08-19"
"sap_successfactors_integration_004_item","sap_successfactors","SAP Fieldglass","","External workforce","cloud_integration","Gerir força de trabalho externa","Complementa gestão de trabalhadores não empregados","sap_source_094","2026-08-19"
"sap_successfactors_integration_005_item","sap_successfactors","SAP Concur","sap_concur","Travel and expense","cloud_integration","Conectar dados de pessoas a viagens e despesas","Simplifica processos cross-suite","sap_source_094","2026-08-19"
"sap_successfactors_integration_006_item","sap_successfactors","Microsoft Teams","","Collaboration","embedded_experience","Levar interações de RH ao fluxo de trabalho","Recursos selecionados operam no Teams","sap_source_095","2026-08-19"
"sap_successfactors_integration_007_item","sap_successfactors","Qualtrics","","Employee experience","cloud_integration","Combinar dados operacionais e experiência","Apoia feedback e ações","sap_source_092","2026-08-19"
"sap_successfactors_integration_008_item","sap_successfactors","Third-party payroll","","Payroll ecosystem","api","Integrar provedores locais","Suporta landscapes globais","sap_source_094","2026-08-19"
"sap_ariba_integration_001_item","sap_ariba","SAP S/4HANA","sap_s4hana","Master and transactional data","cloud_integration","Conectar ERP e procurement","Fornecedores, usuários, pedidos, recebimentos e faturas","sap_source_112","2026-08-19"
"sap_ariba_integration_002_item","sap_ariba","SAP Business Network","","Trading partner collaboration","network","Trocar documentos com fornecedores","Pedidos, confirmações, faturas e pagamentos","sap_source_101","2026-08-19"
"sap_ariba_integration_003_item","sap_ariba","SAP BTP","sap_btp","Integration and extensions","platform","Estender e integrar processos","APIs e serviços de integração","sap_source_110","2026-08-19"
"sap_ariba_integration_004_item","sap_ariba","SAP Integration Suite","","Enterprise integration","iPaaS","Orquestrar integrações SAP e terceiros","Fluxos e APIs gerenciados","sap_source_110","2026-08-19"
"sap_ariba_integration_005_item","sap_ariba","SAP Fieldglass","","Services procurement","cloud_integration","Complementar serviços e contingent workforce","Amplia spend management","sap_source_100","2026-08-19"
"sap_ariba_integration_006_item","sap_ariba","SAP Concur","sap_concur","Spend ecosystem","suite_relation","Conectar categorias de gasto","Complementa travel and expense","sap_source_100","2026-08-19"
"sap_ariba_integration_007_item","sap_ariba","Third-party ERP","","ERP integration","api","Conectar ERPs não SAP","APIs abertas e integrações suportadas","sap_source_114","2026-08-19"
"sap_datasphere_integration_001_item","sap_datasphere","SAP Business Data Cloud","","Portfolio foundation","suite_integration","Unificar dados, analytics e IA","Datasphere é componente de conhecimento, semântica e modelagem","sap_source_115","2026-08-19"
"sap_datasphere_integration_002_item","sap_datasphere","SAP Analytics Cloud","","Analytics and planning","cloud_integration","Consumir modelos para BI e planejamento","Dados Datasphere podem alimentar analytics","sap_source_125","2026-08-19"
"sap_datasphere_integration_003_item","sap_datasphere","SAP HANA Cloud","","Database platform","cloud_integration","Processar e armazenar workloads relacionados","Complementa a fundação de dados","sap_source_126","2026-08-19"
"sap_datasphere_integration_004_item","sap_datasphere","SAP S/4HANA","sap_s4hana","Business data source","data_integration","Integrar dados operacionais SAP","Conexões e conteúdo de negócio suportam cenários","sap_source_117","2026-08-19"
"sap_datasphere_integration_005_item","sap_datasphere","SAP BW","","Data warehouse modernization","migration_integration","Evoluir cenários BW","Ferramentas e arquitetura apoiam modernização","sap_source_127","2026-08-19"
"sap_datasphere_integration_006_item","sap_datasphere","SAP BTP","sap_btp","Platform services","platform","Usar serviços de integração e identidade","Datasphere opera no ecossistema SAP de plataforma","sap_source_117","2026-08-19"
"sap_datasphere_integration_007_item","sap_datasphere","Third-party systems","","Data sources","connection_api","Conectar dados não SAP","Suporta fontes cloud e on-premise conforme conexões","sap_source_118","2026-08-19"
"sap_datasphere_integration_008_item","sap_datasphere","OData consumers","","Data consumption","api","Expor dados modelados","Objetos podem ser consumidos por OData","sap_source_124","2026-08-19"
"sap_analytics_cloud_integration_001_item","sap_analytics_cloud","SAP Datasphere","sap_datasphere","Semantic data models","cloud_integration","Consumir dados governados e contextualizados","Datasphere fornece dados e semântica para SAC","sap_source_139","2026-08-19"
"sap_analytics_cloud_integration_002_item","sap_analytics_cloud","SAP Business Data Cloud","","Data and analytics portfolio","suite_integration","Unificar dados, analytics e IA","SAC é a solução de front-end de analytics e planejamento","sap_source_140","2026-08-19"
"sap_analytics_cloud_integration_003_item","sap_analytics_cloud","SAP S/4HANA","sap_s4hana","ERP analytics and planning","cloud_integration","Analisar e planejar com dados ERP","Integração e conteúdo suportam cenários empresariais","sap_source_141","2026-08-19"
"sap_analytics_cloud_integration_004_item","sap_analytics_cloud","SAP HANA Cloud","","Database and live data","live_connection","Consumir dados de fontes SAP HANA","Conexões permitem análise em tempo real","sap_source_135","2026-08-19"
"sap_analytics_cloud_integration_005_item","sap_analytics_cloud","SAP BTP","sap_btp","Platform services","platform","Usar serviços de plataforma e identidade","SAC é construído no ecossistema BTP","sap_source_132","2026-08-19"
