"product_id","official_name","commercial_name","category","subcategory","status","short_description","detailed_description","main_purpose","business_problem","portfolio_positioning","official_product_url","official_documentation_url","language_code","last_verified_at"
"sap_concur","SAP Concur solutions","SAP Concur","Gestão financeira","Gestão de viagens, despesas e faturas","active","Portfólio em nuvem para conectar e automatizar viagens corporativas, despesas de funcionários e processamento de faturas.","SAP Concur solutions reúne soluções de viagens, despesas, solicitações e faturas para capturar gastos, aplicar políticas, automatizar aprovações, integrar dados financeiros e oferecer visibilidade sobre gastos iniciados por funcionários e contas a pagar.","Gerenciar de ponta a ponta viagens, despesas e faturas com automação, mobilidade, controles de política e integração financeira.","Processos manuais e fragmentados de viagens, reembolsos e contas a pagar reduzem a visibilidade, aumentam erros e dificultam a conformidade.","Soluções SAP de gestão financeira e de gastos para travel and expense e invoice management, integráveis às aplicações SAP e a sistemas externos.","https://www.sap.com/products/financial-management/travel-and-expense-management.html","https://help.sap.com/docs/concur-expense","pt-BR","2026-08-19"
"sap_btp","SAP Business Technology Platform","SAP BTP","Plataforma tecnológica empresarial","Desenvolvimento, integração, automação, dados e inteligência artificial","active","Plataforma em nuvem da SAP para criar, estender, integrar, automatizar e operar aplicações, dados, processos e soluções de IA empresariais.","SAP Business Technology Platform reúne desenvolvimento de aplicações e agentes, automação, integração, dados, analytics, IA e capacidades centrais de plataforma. Em 2026, suas capacidades passaram a ser uma parte central da SAP Business AI Platform, sem que o nome SAP BTP deixasse de ser usado na página de produto e na documentação oficial.","Oferecer uma base governada para conectar sistemas, desenvolver extensões clean core, automatizar processos, trabalhar com dados empresariais e criar soluções de IA.","Cenários empresariais fragmentados, integrações complexas, extensões que comprometem o núcleo, dados desconectados e dificuldade de levar aplicações e IA do protótipo à produção com governança.","As capacidades do SAP BTP são atualmente uma parte central da SAP Business AI Platform e sustentam a criação, integração, gestão e execução de agentes, aplicações e workflows empresariais.","https://www.sap.com/products/technology-platform.html","https://help.sap.com/docs/btp","pt-BR","2026-08-19"
"sap_s4hana","SAP S/4HANA","SAP S/4HANA","Enterprise Resource Planning","ERP inteligente para processos empresariais integrados","active","Suite ERP de nova geração baseada no banco de dados SAP HANA, com experiência SAP Fiori, analytics em tempo real, automação e IA incorporada.","SAP S/4HANA integra finanças, vendas, compras, manufatura, cadeia de suprimentos, ativos, serviços e outros processos em um modelo de dados simplificado. Está disponível como SAP S/4HANA Cloud Public Edition, SAP S/4HANA Cloud Private Edition e SAP S/4HANA on-premise. As ofertas comerciais atuais usam também os nomes SAP Cloud ERP e SAP Cloud ERP Private.","Executar e integrar processos empresariais centrais em tempo real, com dados consistentes, automação, analytics e suporte à decisão.","Sistemas ERP legados fragmentados, processos manuais, dados redundantes, baixa visibilidade operacional, integrações complexas e dificuldade para inovar com rapidez.","Núcleo ERP da SAP Business Suite e base técnica das ofertas SAP Cloud ERP. Substitui o SAP ERP Central Component como geração atual do ERP da SAP.","https://www.sap.com/products/erp/s4hana.html","https://help.sap.com/docs/SAP_S4HANA_ON-PREMISE","pt-BR","2026-08-19"
"sap_successfactors","SAP SuccessFactors HCM","SAP SuccessFactors","Human Capital Management","Core HR, payroll, talent, analytics and employee experience","active","Suite HCM em nuvem, orientada por IA, para administrar o ciclo completo dos colaboradores.","SAP SuccessFactors HCM reúne core HR, folha, tempo, recrutamento, onboarding, desempenho, remuneração, aprendizagem, desenvolvimento, people analytics e experiência do colaborador em uma suite cloud conectada.","Atrair, administrar, desenvolver, remunerar e reter pessoas com processos globais de RH, dados confiáveis e experiências orientadas por IA.","Dados de pessoas fragmentados, processos manuais de RH, baixa visibilidade de habilidades, experiências inconsistentes e dificuldade para operar folha e talentos globalmente.","Suite de Human Capital Management da SAP e componente da SAP Business Suite, integrável ao ERP e à SAP Business Technology Platform.","https://www.sap.com/products/hcm.html","https://help.sap.com/docs/SAP_SUCCESSFACTORS_HXM_SUITE","pt-BR","2026-08-19"
"sap_ariba","SAP Ariba solutions","SAP Ariba","Spend Management","Source-to-pay, procurement and supplier management","active","Portfólio cloud para sourcing, contratos, fornecedores, compras, catálogos, faturamento e análise de gastos.","SAP Ariba solutions automatizam processos source-to-pay e conectam compradores a fornecedores. O portfólio inclui sourcing, contracts, supplier lifecycle and performance, buying, guided buying, catalog, invoicing e spend analysis, com colaboração por SAP Business Network.","Controlar gastos, selecionar e colaborar com fornecedores, automatizar compras e faturas e aumentar conformidade.","Gastos fragmentados, compras manuais, baixa visibilidade de fornecedores, ciclos longos de sourcing e contratos, compras fora de política e exceções de fatura.","Pilar de spend management da SAP Business Suite, integrado ao ERP e ao SAP Business Network.","https://www.sap.com/products/spend-management.html","https://help.sap.com/docs/ariba","pt-BR","2026-08-19"
"sap_datasphere","SAP Datasphere","SAP Datasphere","Data and Analytics","Data integration, semantic modeling, cataloging and data warehousing","active","Serviço de dados em nuvem para integrar, catalogar, modelar e disponibilizar dados com contexto de negócio.","SAP Datasphere combina integração de dados, catálogo, modelagem semântica, data warehousing, federação e virtualização. Em 2026, é componente central do SAP Business Data Cloud, atuando como núcleo de conhecimento para semântica, data products e modelagem.","Entregar dados confiáveis, governados e com semântica de negócio para analytics, planejamento, aplicações e IA.","Dados SAP e não SAP isolados, perda de contexto, replicações desnecessárias, modelos inconsistentes e dificuldade para governar dados para analytics e IA.","Fundação tecnológica de data fabric e componente do SAP Business Data Cloud; complementa SAP Analytics Cloud, SAP HANA Cloud e SAP Business AI Platform.","https://www.sap.com/products/data-cloud/datasphere.html","https://help.sap.com/docs/SAP_DATASPHERE","pt-BR","2026-08-19"
"sap_analytics_cloud","SAP Analytics Cloud","SAP Analytics Cloud","Data and Analytics","Business intelligence, enterprise planning and predictive analytics","active","Solução SaaS que reúne BI, analytics avançado, planejamento empresarial e recursos preditivos em uma única experiência cloud.","SAP Analytics Cloud permite criar stories, dashboards, relatórios, modelos, aplicações analíticas e planos colaborativos. Integra-se a fontes SAP e não SAP, incluindo live connections, e em 2026 é a solução de front-end de analytics e planejamento do SAP Business Data Cloud.","Transformar dados confiáveis em insights, cenários e planos para decisões empresariais ágeis.","Relatórios dispersos, planejamento desconectado, decisões tardias, baixa colaboração e dificuldade para levar análise à ação.","Solução de analytics e planejamento da SAP Business Data Cloud e serviço de analytics no ecossistema SAP BTP.","https://www.sap.com/products/data-cloud/cloud-analytics.html","https://help.sap.com/docs/SAP_ANALYTICS_CLOUD","pt-BR","2026-08-19"
"sap_signavio","SAP Signavio Process Transformation Suite","SAP Signavio","Business Transformation Management","Process management, process mining, journey modeling and process governance","active","Suite cloud para compreender, modelar, analisar e transformar processos empresariais com colaboração, mineração de processos e IA.","SAP Signavio Process Transformation Suite integra Process Manager, Process Intelligence, Process Collaboration Hub, Journey Modeler e recursos de análise e recomendação. Ajuda organizações a documentar processos, descobrir ineficiências em dados de execução, comparar desempenho e gerir transformação contínua.","Criar uma visão compartilhada dos processos e orientar melhorias baseadas em modelos, dados e colaboração.","Processos pouco documentados, ineficiências ocultas, baixa colaboração entre negócio e TI, transformações sem métricas e dificuldade para sustentar mudança.","Solução de business transformation management da SAP Business Suite; complementa SAP LeanIX, WalkMe, SAP S/4HANA e SAP BTP.","https://www.sap.com/products/business-transformation-management.html","https://help.sap.com/docs/signavio","pt-BR","2026-08-19"
"sap_business_network","SAP Business Network","SAP Business Network","Business Network","Procurement, supply chain, logistics, asset collaboration and B2B commerce","active","Rede cloud para conectar compradores, fornecedores, operadores logísticos e parceiros em processos B2B.","SAP Business Network unifica interações e integrações entre parceiros comerciais, permitindo troca de transações, compartilhamento de informações, descoberta de parceiros e colaboração em procurement, supply chain, logística, rastreabilidade e ativos.","Conectar organizações e parceiros para tornar processos de compras e cadeia de suprimentos mais visíveis, eficientes e resilientes.","Silos entre empresas, baixa visibilidade de pedidos e logística, onboarding lento, exceções manuais e riscos de compliance.","Oferta de colaboração multiempresa da SAP Business Suite; complementa SAP Ariba, SAP S/4HANA, SAP BTP e soluções de supply chain.","https://www.sap.com/products/business-network.html","https://help.sap.com/docs/business-network-for-procurement","pt-BR","2026-08-19"
"sap_build","SAP Build","SAP Build","Application Development and Automation","Low-code, pro-code, process automation, digital workspaces and AI agents","active","Oferta unificada para criar aplicações, automatizar processos, projetar workspaces digitais e desenvolver agentes de IA.","SAP Build combina SAP Build Apps, SAP Build Process Automation, SAP Build Work Zone, SAP Build Code e Joule Studio em uma direção unificada de desenvolvimento low-code, pro-code e assistido por IA.","Transformar ideias de negócio em aplicações, automações, experiências digitais e agentes governados.","Desenvolvimento lento, processos manuais, experiências fragmentadas e dificuldade para combinar low-code, código profissional e IA.","Oferta de desenvolvimento e automação da SAP Business Suite sobre SAP BTP; complementa SAP S/4HANA, SAP Business Network e Joule.","https://www.sap.com/products/technology-platform/build.html","https://help.sap.com/docs/build-process-automation","pt-BR","2026-08-19"
