"security_item_id","product_id","security_category","item_name","description","source_id","last_verified_at"
"sap_concur_security_auth","sap_concur","Autenticação","Políticas de senha e SSO","Clientes podem definir políticas de senha e usar single sign-on.","sap_source_017","2026-08-19"
"sap_concur_security_identity","sap_concur","Gestão de identidades","SAP Cloud Identity Services","IAS oferece autenticação e SSO; IPS apoia provisionamento de identidades.","sap_source_005","2026-08-19"
"sap_concur_security_soc2","sap_concur","Assurance","SOC 2 Type 2","Relatório independente cobriu Segurança, Disponibilidade e Confidencialidade no período de 2024-04-01 a 2025-03-31.","sap_source_019","2026-08-19"
"sap_concur_security_pci","sap_concur","Compliance","PCI DSS","SAP Concur Travel and Expense EMEA teve conformidade PCI DSS verificada, com atestado assinado em 2025-09-12.","sap_source_020","2026-08-19"
"sap_concur_security_ens","sap_concur","Compliance","ENS Level HIGH","O Compliance Document Finder lista certificado ENS nível HIGH para os sistemas que suportam SAP Concur.","sap_source_018","2026-08-19"
"sap_concur_security_fedramp","sap_concur","Setor público","FedRAMP Authorized environment","Concur Cloud for Public Sector opera em AWS GovCloud com controles e monitoramento voltados ao setor público dos EUA.","sap_source_007","2026-08-19"
"sap_btp_security_iam","sap_btp","Identity and access management","SAP Cloud Identity Services","Federação, autenticação e provisionamento para usuários de plataforma e negócio.","sap_source_043","2026-08-19"
"sap_btp_security_authz","sap_btp","Authorization","Role collections","Funções são agrupadas em coleções atribuídas a usuários nos níveis de conta e aplicação.","sap_source_037","2026-08-19"
"sap_btp_security_trust","sap_btp","Authentication","OIDC e SAML 2.0","Protocolos oficiais para estabelecer confiança com provedores de identidade.","sap_source_043","2026-08-19"
"sap_btp_security_xsuaa","sap_btp","Application security","Authorization and Trust Management service","Gerencia autorizações e confiança de aplicações no Cloud Foundry environment.","sap_source_047","2026-08-19"
"sap_btp_security_audit","sap_btp","Auditability","Security Audit Log","Alterações do serviço de autorização são registradas e resumidas no audit log.","sap_source_047","2026-08-19"
"sap_btp_security_recommendations","sap_btp","Security governance","SAP BTP Security Recommendations","Catálogo central de recomendações para configurar e operar serviços com segurança.","sap_source_048","2026-08-19"
"sap_btp_security_shared","sap_btp","Governance","Shared responsibility model","SAP e clientes possuem responsabilidades específicas conforme serviço e runtime.","sap_source_051","2026-08-19"
"sap_btp_security_compliance","sap_btp","Compliance","SAP Trust Center e Central Cloud Services reports","Documentos de compliance elegíveis são disponibilizados sob demanda; relatórios Central Cloud Services substituem relatórios anteriores de SAP BTP.","sap_source_052","2026-08-19"
"sap_s4hana_identity_and_access_management","sap_s4hana","Identity and Access Management","Business roles","Acesso é concedido por funções empresariais e catálogos autorizados.","sap_source_063","2026-08-19"
"sap_s4hana_authentication","sap_s4hana","Authentication","Identity federation","Integra provedores de identidade e mecanismos de autenticação compatíveis.","sap_source_063","2026-08-19"
"sap_s4hana_authorization","sap_s4hana","Authorization","Least privilege","Permissões devem seguir necessidade de negócio e segregação de funções.","sap_source_063","2026-08-19"
"sap_s4hana_data_protection","sap_s4hana","Data protection","Encryption","Proteção de dados em trânsito e em repouso depende da edição e do serviço.","sap_source_073","2026-08-19"
"sap_s4hana_auditability","sap_s4hana","Auditability","Security audit and change logs","Logs apoiam investigação, conformidade e rastreabilidade.","sap_source_073","2026-08-19"
"sap_s4hana_cloud_security","sap_s4hana","Cloud security","Shared responsibility","SAP e cliente dividem responsabilidades conforme o modelo de implantação.","sap_source_074","2026-08-19"
"sap_s4hana_compliance","sap_s4hana","Compliance","SAP Trust Center","Certificações e relatórios aplicáveis devem ser confirmados por serviço e região.","sap_source_075","2026-08-19"
"sap_s4hana_operations","sap_s4hana","Operations","Patch and vulnerability management","Responsabilidade por patches varia entre Public, Private e on-premise.","sap_source_063","2026-08-19"
"sap_successfactors_security_001_item","sap_successfactors","Authorization","Role-Based Permissions","Acesso configurado por funções, grupos e populações.","sap_source_093","2026-08-19"
"sap_successfactors_security_002_item","sap_successfactors","Identity","Single sign-on","Suporta federação de identidade conforme configuração.","sap_source_096","2026-08-19"
"sap_successfactors_security_003_item","sap_successfactors","Privacy","Data protection and privacy","Recursos e responsabilidades devem ser avaliados conforme dados pessoais tratados.","sap_source_096","2026-08-19"
"sap_successfactors_security_004_item","sap_successfactors","Audit","Read and change audit","Logs de leitura, alteração e auditoria apoiam rastreabilidade.","sap_source_099","2026-08-19"
"sap_successfactors_security_005_item","sap_successfactors","Compliance","SAP Trust Center","Certificações aplicáveis variam por serviço e região.","sap_source_096","2026-08-19"
"sap_successfactors_security_006_item","sap_successfactors","Data governance","Retention and deletion","Políticas de retenção e exclusão devem ser configuradas conforme requisitos.","sap_source_096","2026-08-19"
"sap_successfactors_security_007_item","sap_successfactors","Administration","Configuration Center","Ferramentas apoiam gestão e transporte de configurações.","sap_source_093","2026-08-19"
"sap_successfactors_security_008_item","sap_successfactors","Shared responsibility","Cloud security responsibilities","SAP opera a nuvem e o cliente governa usuários, permissões e configuração.","sap_source_096","2026-08-19"
"sap_ariba_security_001_item","sap_ariba","Identity","Single sign-on","Sites podem ser configurados para SSO","sap_source_114","2026-08-19"
"sap_ariba_security_002_item","sap_ariba","Authorization","Roles and permissions","Acesso é controlado por funções e grupos","sap_source_110","2026-08-19"
"sap_ariba_security_003_item","sap_ariba","Supplier data","Secure collaboration","Perfis e documentos são compartilhados em ambiente controlado","sap_source_102","2026-08-19"
"sap_ariba_security_004_item","sap_ariba","Auditability","Approval and transaction history","Workflows e documentos mantêm histórico operacional","sap_source_105","2026-08-19"
"sap_ariba_security_005_item","sap_ariba","Compliance","SAP Trust Center","Certificações devem ser verificadas por serviço e região","sap_source_100","2026-08-19"
"sap_ariba_security_006_item","sap_ariba","Shared responsibility","Cloud configuration","SAP opera a nuvem e clientes governam acessos e configuração","sap_source_114","2026-08-19"
"sap_datasphere_security_001_item","sap_datasphere","Authorization","Roles and spaces","Permissões e papéis controlam acesso a espaços e objetos.","sap_source_121","2026-08-19"
"sap_datasphere_security_002_item","sap_datasphere","Identity","User and role management","Administração cria usuários e atribui papéis.","sap_source_121","2026-08-19"
