"industry_id","product_id","industry_name","application_description","use_case_id","source_id"
"sap_concur_industry_regulated","sap_concur","Setores regulados","Automação, IA e controles ajudam a manter transparência e consistência em travel and expense.","sap_concur_use_case_003_policy_compliance","sap_source_007"
"sap_concur_industry_federal_government","sap_concur","Governo federal dos EUA","Concur Cloud for Public Sector atende cenários governamentais em ambiente FedRAMP Authorized.","sap_concur_use_case_007_public_sector","sap_source_007"
"sap_concur_industry_state_local_tribal","sap_concur","Governos estaduais, locais e tribais dos EUA","Ambiente de setor público voltado a entidades governamentais dos EUA.","sap_concur_use_case_007_public_sector","sap_source_007"
"sap_concur_industry_higher_education","sap_concur","Ensino superior","SAP lista educação superior entre os materiais oficiais de setores atendidos.","sap_concur_use_case_007_public_sector","sap_source_007"
"sap_concur_industry_healthcare","sap_concur","Saúde","SAP lista healthcare entre os materiais oficiais para setores regulados.","sap_concur_use_case_003_policy_compliance","sap_source_007"
"sap_btp_industry_cross","sap_btp","Cross-industry","A SAP apresenta SAP BTP como plataforma para aplicações e processos em diversas áreas e indústrias, sem limitar o produto a um setor específico.","","sap_source_026"
"sap_s4hana_manufacturing","sap_s4hana","Manufacturing","Planejamento e execução de produção, materiais e ativos.","sap_s4hana_plan_to_produce","sap_source_067"
"sap_s4hana_retail","sap_s4hana","Retail","Finanças, compras, estoque, vendas e operações integradas.","sap_s4hana_inventory_management","sap_source_054"
"sap_s4hana_consumer_products","sap_s4hana","Consumer Products","Planejamento, manufatura, distribuição e gestão comercial.","sap_s4hana_plan_to_produce","sap_source_054"
"sap_s4hana_automotive","sap_s4hana","Automotive","Processos de manufatura e cadeia de suprimentos complexos.","sap_s4hana_plan_to_produce","sap_source_055"
"sap_s4hana_utilities","sap_s4hana","Utilities","Gestão financeira, ativos e operações intensivas em infraestrutura.","sap_s4hana_maintenance_execution","sap_source_068"
"sap_s4hana_oil_gas_and_energy","sap_s4hana","Oil, Gas and Energy","Gestão de ativos, manutenção, finanças e supply chain.","sap_s4hana_maintenance_execution","sap_source_055"
"sap_s4hana_professional_services","sap_s4hana","Professional Services","Projetos, recursos, serviços, faturamento e finanças.","sap_s4hana_service_delivery","sap_source_069"
"sap_s4hana_public_sector","sap_s4hana","Public Sector","Orçamento, finanças, procurement e processos públicos específicos.","sap_s4hana_record_to_report","sap_source_071"
"sap_successfactors_industry_001_item","sap_successfactors","Cross-industry","Aplicável a organizações de diferentes setores.","","sap_source_080"
