"audience_id","product_id","audience_type","audience_name","description","source_id"
"sap_concur_company_001","sap_concur","company_type","Organizações com gastos iniciados por funcionários","Empresas de qualquer porte que gerenciam viagens, despesas ou faturas.","sap_source_007"
"sap_concur_department_001","sap_concur","department","Finanças","Equipes responsáveis por despesas, lançamentos, reembolsos e visibilidade financeira.","sap_source_003"
"sap_concur_department_002","sap_concur","department","Contas a pagar","Equipes que capturam, aprovam e processam faturas de fornecedores.","sap_source_016"
"sap_concur_department_003","sap_concur","department","Gestão de viagens","Equipes que configuram políticas, fornecedores e programas de viagem.","sap_source_003"
"sap_concur_role_001","sap_concur","role","Funcionários viajantes","Usuários que planejam viagens, capturam recibos e enviam despesas.","sap_source_004"
"sap_concur_role_002","sap_concur","role","Gestores e aprovadores","Usuários que revisam e aprovam solicitações e relatórios.","sap_source_003"
"sap_concur_role_003","sap_concur","role","Administradores SAP Concur","Profissionais que configuram políticas, integrações e regras.","sap_source_001"
"sap_concur_professional_001","sap_concur","professional","Profissionais de TI e integração","Responsáveis por conectar SAP Concur ao cenário corporativo.","sap_source_010"
"sap_concur_business_area_001","sap_concur","business_area","Compliance e auditoria","Áreas que monitoram políticas, exceções e evidências de controle.","sap_source_015"
"sap_concur_industry_001","sap_concur","industry","Entidades públicas e reguladas","Organizações com requisitos reforçados de segurança e conformidade.","sap_source_007"
"sap_btp_audience_company","sap_btp","company_type","Organizações com landscapes SAP e não SAP","Empresas que precisam criar, integrar, automatizar ou operar aplicações e IA.","sap_source_028"
"sap_btp_audience_dev","sap_btp","professional","Desenvolvedores profissionais","Criam aplicações, extensões, integrações e agentes pro-code.","sap_source_046"
"sap_btp_audience_citizen","sap_btp","professional","Citizen developers","Criam aplicações, automações e agentes low-code.","sap_source_046"
"sap_btp_audience_architect","sap_btp","role","Arquitetos de solução e integração","Definem serviços, runtimes, segurança e integração do landscape.","sap_source_037"
"sap_btp_audience_admin","sap_btp","role","Administradores SAP BTP","Gerenciam global accounts, subaccounts, entitlements e segurança.","sap_source_037"
"sap_btp_audience_operator","sap_btp","role","Operadores de plataforma","Implantam, monitoram e solucionam problemas de aplicações e serviços.","sap_source_037"
