"differentiation_id","product_id","compared_sap_product","compared_product_id","differentiation_description","source_id"
"sap_concur_differentiation_expense","sap_concur","Concur Expense","","Foco no ciclo de despesas de funcionários, incluindo recibos, relatórios, aprovações, lançamento e reembolso.","sap_source_004"
"sap_concur_differentiation_travel","sap_concur","Concur Travel","","Foco em planejamento, reserva, alterações e conformidade de viagens corporativas.","sap_source_003"
"sap_concur_differentiation_invoice","sap_concur","Concur Invoice","","Foco em captura, aprovação e processamento de faturas de fornecedores e contas a pagar.","sap_source_016"
"sap_concur_differentiation_request","sap_concur","Concur Request","","Foco em solicitação e aprovação do gasto antes de sua realização.","sap_source_024"
"sap_btp_differentiation_baip","sap_btp","SAP Business AI Platform","","SAP BTP permanece como conjunto de capacidades e produto documentado; SAP Business AI Platform é o portfólio mais amplo que unifica BTP, Business Data Cloud e Business AI.","sap_source_030"
"sap_btp_differentiation_hyperscaler","sap_btp","Hyperscaler AI platforms","","SAP BTP diferencia-se por integração nativa com processos, regras e dados SAP, além de governança empresarial; hyperscalers fornecem infraestrutura e serviços gerais.","sap_source_036"
"sap_btp_differentiation_cloud_foundry","sap_btp","Cloud Foundry environment","","Ambiente PaaS poliglota para aplicações cloud-native e lifecycle baseado em Cloud Foundry.","sap_source_040"
"sap_btp_differentiation_kyma","sap_btp","Kyma environment","","Runtime Kubernetes gerenciado adequado a containers, extensões cloud-native e agentes pro-code.","sap_source_046"
"sap_btp_differentiation_abap","sap_btp","ABAP environment","","Ambiente PaaS ABAP para extensões side-by-side e aplicações SaaS em ABAP Cloud.","sap_source_042"
"sap_s4hana_sap_erp_central_component","sap_s4hana","SAP ERP Central Component","","SAP S/4HANA é a geração sucessora, executada exclusivamente sobre SAP HANA, com modelo simplificado, SAP Fiori e analytics incorporado.","sap_source_057"
"sap_s4hana_sap_s_4hana_cloud_public_edition","sap_s4hana","SAP S/4HANA Cloud Public Edition","","É a edição SaaS pública padronizada, multitenant, com upgrades automáticos e best practices prontas.","sap_source_057"
"sap_s4hana_sap_s_4hana_cloud_private_edition","sap_s4hana","SAP S/4HANA Cloud Private Edition","","É a edição cloud dedicada, com maior flexibilidade de customização e serviços técnicos gerenciados.","sap_source_057"
"sap_s4hana_sap_s_4hana_on_premise","sap_s4hana","SAP S/4HANA on-premise","","Compartilha amplo escopo funcional com a Private Edition, mas o cliente controla infraestrutura, operações e ritmo de upgrades.","sap_source_057"
"sap_s4hana_sap_business_technology_platform","sap_s4hana","SAP Business Technology Platform","sap_btp","SAP S/4HANA executa processos ERP centrais; SAP BTP é a plataforma usada para integração, extensões, automação, dados e IA.","sap_source_061"
"sap_successfactors_diff_001_item","sap_successfactors","SAP HCM for SAP S/4HANA","","SuccessFactors é HCM SaaS em nuvem; SAP HCM for S/4HANA é opção de HCM no ambiente ERP.","sap_source_082"
"sap_successfactors_diff_002_item","sap_successfactors","SAP Fieldglass","","SuccessFactors cobre empregados e HCM; Fieldglass foca força de trabalho externa e serviços.","sap_source_094"
"sap_successfactors_diff_003_item","sap_successfactors","SAP Learning Hub","","SuccessFactors Learning é LMS para a força de trabalho; Learning Hub é serviço para aprender produtos SAP.","sap_source_089"
"sap_successfactors_diff_004_item","sap_successfactors","SAP S/4HANA","sap_s4hana","SuccessFactors gerencia pessoas e talentos; S/4HANA executa processos ERP centrais.","sap_source_094"
"sap_successfactors_diff_005_item","sap_successfactors","Qualtrics","","SuccessFactors executa processos HCM; Qualtrics mede experiências e feedback.","sap_source_092"
"sap_ariba_diff_001_item","sap_ariba","SAP Business Network","","SAP Ariba executa sourcing e procurement; Business Network conecta parceiros e troca documentos.","sap_source_101"
"sap_ariba_diff_002_item","sap_ariba","SAP S/4HANA","sap_s4hana","Ariba especializa source-to-pay cloud; S/4HANA é o ERP transacional central.","sap_source_112"
"sap_ariba_diff_003_item","sap_ariba","SAP Fieldglass","","Ariba cobre compras e fornecedores; Fieldglass foca serviços e força de trabalho externa.","sap_source_100"
"sap_ariba_diff_004_item","sap_ariba","SAP Concur","sap_concur","Ariba cobre procurement; Concur cobre viagens, despesas e faturas relacionadas.","sap_source_100"
"sap_ariba_diff_005_item","sap_ariba","SAP BTP","sap_btp","Ariba é aplicação de negócio; BTP é plataforma de integração, extensão, dados e IA.","sap_source_110"
