"relationship_id","product_id","related_product_name","related_product_id","relationship_type","relationship_description","combined_problem_solved","source_id"
"sap_concur_relationship_expense","sap_concur","Concur Expense","","portfolio_solution","Solução do portfólio focada em despesas.","Gerencia o ciclo de gastos de funcionários e reembolsos.","sap_source_003"
"sap_concur_relationship_travel","sap_concur","Concur Travel","","portfolio_solution","Solução do portfólio focada em planejamento e reservas de viagens.","Conecta gasto de viagem com políticas e despesas.","sap_source_003"
"sap_concur_relationship_invoice","sap_concur","Concur Invoice","","portfolio_solution","Solução do portfólio focada em faturas e contas a pagar.","Conecta gastos de fornecedores à visão de despesas.","sap_source_002"
"sap_concur_relationship_request","sap_concur","Concur Request","","portfolio_solution","Solução para solicitações e aprovações antes do gasto.","Adiciona controle prévio a viagens e outras despesas.","sap_source_024"
"sap_concur_relationship_s4hana","sap_concur","SAP S/4HANA","","integration","Integra lançamento financeiro, dados de origem e reembolso.","Conecta travel and expense ao ERP financeiro.","sap_source_006"
"sap_concur_relationship_successfactors","sap_concur","SAP SuccessFactors","","integration","Fornece dados de funcionários ao cenário Travel-to-Reimburse.","Integra pessoas, viagens, despesas e finanças.","sap_source_005"
"sap_concur_relationship_btp","sap_concur","SAP Business Technology Platform","","integration_foundation","Base para integração e orquestração do processo ponta a ponta.","Conecta SAP Concur, SAP SuccessFactors e SAP S/4HANA.","sap_source_005"
"sap_concur_relationship_analytics_cloud","sap_concur","SAP Analytics Cloud","","complementary_analytics","Permite analisar dados de despesas e conformidade.","Amplia insights sobre gastos.","sap_source_010"
"sap_btp_relationship_baip","sap_btp","SAP Business AI Platform","","portfolio_parent","Unifica SAP BTP, SAP Business Data Cloud e SAP Business AI em ambiente governado.","Combina aplicações, dados, IA e governança.","sap_source_030"
"sap_btp_relationship_build","sap_btp","SAP Build","","platform_suite","Fornece desenvolvimento de aplicações, automação, workspaces e ferramentas de desenvolvedor.","Acelera extensões e automação clean core.","sap_source_039"
"sap_btp_relationship_integration","sap_btp","SAP Integration Suite","","platform_service","Fornece integração de aplicações, dados, APIs, eventos e agentes.","Conecta landscapes híbridos e heterogêneos.","sap_source_035"
"sap_btp_relationship_hana","sap_btp","SAP HANA Cloud","","data_foundation","Fornece banco de dados cloud e engines de vetor e knowledge graph.","Sustenta aplicações orientadas a dados e IA.","sap_source_045"
"sap_btp_relationship_bdc","sap_btp","SAP Business Data Cloud","","portfolio_component","Fornece base de dados e contexto empresarial dentro da Business AI Platform.","Conecta dados confiáveis a aplicações e agentes.","sap_source_030"
"sap_btp_relationship_identity","sap_btp","SAP Cloud Identity Services","","security_service","Fornece identidade, autenticação e provisionamento.","Protege plataforma e aplicações.","sap_source_043"
"sap_btp_relationship_cloudalm","sap_btp","SAP Cloud ALM","","operations","Monitora operações e lifecycle de aplicações e serviços.","Aumenta observabilidade e controle operacional.","sap_source_049"
"sap_btp_relationship_s4hana","sap_btp","SAP S/4HANA e SAP Cloud ERP","","extension_target","Aplicações empresariais que podem ser integradas e estendidas pelo SAP BTP.","Permite inovação clean core.","sap_source_039"
"sap_btp_relationship_concur","sap_btp","SAP Concur solutions","sap_concur","integration_target","Solução SAP conectada em processos ponta a ponta com outros produtos.","SAP BTP funciona como base do Travel-to-Reimburse.","sap_source_005"
"sap_s4hana_sap_business_technology_platform","sap_s4hana","SAP Business Technology Platform","sap_btp","platform_extension","Integra, estende e automatiza processos preservando clean core.","Inovação e integração do núcleo ERP.","sap_source_061"
"sap_s4hana_sap_integration_suite","sap_s4hana","SAP Integration Suite","","integration","Conecta SAP S/4HANA a aplicações e parceiros.","Processos ponta a ponta em landscapes híbridos.","sap_source_061"
"sap_s4hana_sap_successfactors","sap_s4hana","SAP SuccessFactors","","suite_integration","Conecta gestão de pessoas ao ERP.","Processos de força de trabalho e finanças integrados.","sap_source_071"
"sap_s4hana_sap_ariba","sap_s4hana","SAP Ariba","","suite_integration","Amplia sourcing, procurement e colaboração com fornecedores.","Spend management integrado ao ERP.","sap_source_071"
"sap_s4hana_sap_concur","sap_s4hana","SAP Concur","sap_concur","suite_integration","Integra viagens e despesas às finanças.","Controle de despesas e contabilização.","sap_source_071"
"sap_s4hana_sap_analytics_cloud","sap_s4hana","SAP Analytics Cloud","","analytics","Amplia planejamento e analytics empresarial.","Planejamento integrado e visualização avançada.","sap_source_071"
"sap_s4hana_sap_business_data_cloud","sap_s4hana","SAP Business Data Cloud","","data_analytics","Disponibiliza dados e produtos de dados governados.","Contexto de dados para analytics e IA.","sap_source_055"
"sap_s4hana_sap_cloud_alm","sap_s4hana","SAP Cloud ALM","","lifecycle_management","Apoia implementação e operações cloud.","Governança do ciclo de vida da solução.","sap_source_058"
"sap_s4hana_sap_signavio","sap_s4hana","SAP Signavio","","process_transformation","Modela, analisa e transforma processos.","Descoberta e melhoria antes e durante a transformação ERP.","sap_source_077"
"sap_s4hana_sap_business_network","sap_s4hana","SAP Business Network","","business_network","Conecta processos internos a parceiros externos.","Colaboração em compras, logística e cadeia.","sap_source_071"
"sap_successfactors_related_001_item","sap_successfactors","SAP S/4HANA","sap_s4hana","suite_integration","Conecta dados de pessoas ao ERP","Processos empresariais e força de trabalho integrados","sap_source_094"
"sap_successfactors_related_002_item","sap_successfactors","SAP BTP","sap_btp","platform_extension","Integra e estende SuccessFactors","Extensões e integrações governadas","sap_source_094"
"sap_successfactors_related_003_item","sap_successfactors","SAP Fieldglass","","complementary_solution","Gerencia força de trabalho externa","Visão ampliada da força de trabalho","sap_source_094"
"sap_successfactors_related_004_item","sap_successfactors","SAP Concur","sap_concur","suite_integration","Conecta perfil e estrutura a viagens e despesas","Experiência cross-suite","sap_source_094"
"sap_successfactors_related_005_item","sap_successfactors","SAP Analytics Cloud","","analytics","Amplia analytics e planejamento","Decisões e workforce planning","sap_source_091"
"sap_successfactors_related_006_item","sap_successfactors","Qualtrics","","experience_management","Combina dados operacionais e experiência","Melhoria da experiência do colaborador","sap_source_092"
"sap_successfactors_related_007_item","sap_successfactors","SmartRecruiters for SAP SuccessFactors","","recruiting_platform","Plataforma de recruiting e ATS integrada","Aquisição de talentos ponta a ponta","sap_source_080"
"sap_successfactors_related_008_item","sap_successfactors","SAP Business AI Platform","","ai_platform","Sustenta IA, agentes e governança","Automação e experiências agentic","sap_source_080"
"sap_ariba_related_001_item","sap_ariba","SAP Business Network","","network","Rede atual sucessora de Ariba Network","Colaboração entre compradores e fornecedores","sap_source_101"
"sap_ariba_related_002_item","sap_ariba","SAP S/4HANA","sap_s4hana","erp_integration","ERP integrado a source-to-pay","Compras, finanças e logística conectadas","sap_source_112"
"sap_ariba_related_003_item","sap_ariba","SAP BTP","sap_btp","platform_extension","Integrações e extensões","Landscape governado","sap_source_110"
"sap_ariba_related_004_item","sap_ariba","SAP Fieldglass","","spend_management","Serviços e força de trabalho externa","Cobertura ampliada de spend","sap_source_100"
"sap_ariba_related_005_item","sap_ariba","SAP Concur","sap_concur","spend_management","Travel and expense","Visão mais ampla do gasto","sap_source_100"
"sap_ariba_related_006_item","sap_ariba","SAP Business Data Cloud","","data_analytics","Dados e contexto para analytics e IA","Decisões de spend orientadas por dados","sap_source_111"
"sap_ariba_related_007_item","sap_ariba","SAP Signavio","","process_transformation","Análise e transformação de processos","Melhoria de source-to-pay","sap_source_100"
"sap_datasphere_related_001_item","sap_datasphere","SAP Business Data Cloud","","portfolio_parent","Oferta mais ampla que inclui Datasphere.","Dados, analytics e IA unificados","sap_source_115"
"sap_datasphere_related_002_item","sap_datasphere","SAP Analytics Cloud","","analytics","Consome dados para BI e planejamento.","Insights e planejamento","sap_source_125"
"sap_datasphere_related_003_item","sap_datasphere","SAP HANA Cloud","","database","Complementa armazenamento e processamento de dados.","Fundação de dados","sap_source_126"
"sap_datasphere_related_004_item","sap_datasphere","SAP S/4HANA","sap_s4hana","data_source","Fonte de dados empresariais e conteúdo.","Analytics com contexto de ERP","sap_source_117"
"sap_datasphere_related_005_item","sap_datasphere","SAP BTP","sap_btp","platform","Ecossistema de serviços de plataforma.","Integração e operação cloud","sap_source_117"
"sap_datasphere_related_006_item","sap_datasphere","SAP BW","","modernization","Cenários BW podem evoluir com Datasphere e BDC.","Modernização de data warehouse","sap_source_127"
"sap_datasphere_related_007_item","sap_datasphere","SAP Databricks","","data_ai","Integração no contexto SAP Business Data Cloud.","AI e engenharia de dados","sap_source_130"
"sap_analytics_cloud_related_001_item","sap_analytics_cloud","SAP Business Data Cloud","","portfolio_parent","Oferta que inclui SAC como analytics e planejamento.","Dados, insights e IA unificados.","sap_source_140"
"sap_analytics_cloud_related_002_item","sap_analytics_cloud","SAP Datasphere","sap_datasphere","data_foundation","Camada de integração e semântica de dados.","Analytics com dados governados.","sap_source_139"
"sap_analytics_cloud_related_003_item","sap_analytics_cloud","SAP S/4HANA","sap_s4hana","erp_integration","Fonte e cenário de analytics e planejamento.","Decisões sobre processos ERP.","sap_source_141"
"sap_analytics_cloud_related_004_item","sap_analytics_cloud","SAP BTP","sap_btp","platform","Ecossistema de plataforma para dados e analytics.","Integração e serviços cloud.","sap_source_132"
"sap_analytics_cloud_related_005_item","sap_analytics_cloud","SAP HANA Cloud","","database","Fonte e plataforma de dados relacionada.","Dados para analytics.","sap_source_135"
"sap_analytics_cloud_related_006_item","sap_analytics_cloud","SAP BW","","data_warehouse","Fonte de dados para live analytics.","Modernização e consumo de data warehouse.","sap_source_135"
"sap_analytics_cloud_related_007_item","sap_analytics_cloud","SAP Business Planning and Consolidation","","migration_relation","Solução legada com caminhos de migração para SAC.","Modernização de planejamento.","sap_source_148"
"sap_signavio_related_001_item","sap_signavio","SAP LeanIX","","architecture_management","Relaciona transformação de processos e arquitetura de TI.","Visão integrada de negócio e tecnologia.","sap_source_149"
