"alias_id","product_id","alias_name","alias_type","valid_from","valid_to","notes","source_id"
"sap_concur_alias_001","sap_concur","SAP Concur","commercial_name","","","Nome comercial usado no site oficial do portfólio.","sap_source_002"
"sap_concur_alias_002","sap_concur","SAP Concur solutions","official_portfolio_name","","","Nome oficial atual usado pela SAP para o conjunto de soluções.","sap_source_001"
"sap_concur_alias_003","sap_concur","Concur Travel & Expense","portfolio_label","","","Rótulo oficial usado para o conjunto integrado de viagem e despesas.","sap_source_003"
"sap_btp_alias_abbr","sap_btp","SAP BTP","abbreviation","","","Abreviação oficial atual.","sap_source_026"
"sap_btp_alias_former","sap_btp","SAP Cloud Platform","former_brand","","2021-01-01","Marca anterior descontinuada em 2021; as capacidades continuaram como serviços no SAP BTP.","sap_source_032"
"sap_s4hana_sap_s_4hana","sap_s4hana","SAP S/4HANA","official_name","","","Nome técnico da suite ERP.","sap_source_056"
"sap_s4hana_sap_s_4hana_cloud_public_edition","sap_s4hana","SAP S/4HANA Cloud Public Edition","technical_product_name","","","Edição SaaS pública multitenant.","sap_source_054"
"sap_s4hana_sap_cloud_erp","sap_s4hana","SAP Cloud ERP","marketing_name","","","Termo comercial atual associado à Public Edition.","sap_source_057"
"sap_s4hana_sap_s_4hana_cloud_private_edition","sap_s4hana","SAP S/4HANA Cloud Private Edition","technical_product_name","","","Edição cloud privada dedicada.","sap_source_055"
"sap_s4hana_sap_cloud_erp_private","sap_s4hana","SAP Cloud ERP Private","marketing_name","","","Termo comercial atual associado à Private Edition.","sap_source_055"
"sap_s4hana_sap_s_4hana_on_premise","sap_s4hana","SAP S/4HANA on-premise","deployment_name","","","Implantação operada pelo cliente ou hospedada.","sap_source_056"
"sap_successfactors_alias_001_item","sap_successfactors","SAP SuccessFactors HCM","official_name","","","Nome oficial atual da suite.","sap_source_080"
"sap_successfactors_alias_002_item","sap_successfactors","SAP SuccessFactors HXM Suite","previous_name","","","Nome ainda presente em identificadores e documentação histórica.","sap_source_081"
"sap_successfactors_alias_003_item","sap_successfactors","SuccessFactors","short_name","","","Forma abreviada amplamente usada.","sap_source_082"
"sap_successfactors_alias_004_item","sap_successfactors","SAP HCM SuccessFactors","alternate_name","","","Forma registrada em conteúdo oficial de aprendizagem.","sap_source_082"
"sap_ariba_alias_001_item","sap_ariba","SAP Ariba solutions","official_name","","","Nome coletivo atual das soluções.","sap_source_100"
"sap_ariba_alias_002_item","sap_ariba","SAP Ariba","commercial_name","","","Marca do portfólio de procurement.","sap_source_100"
"sap_ariba_alias_003_item","sap_ariba","Ariba Network","previous_name","","","Nome anterior de SAP Business Network.","sap_source_101"
"sap_datasphere_alias_001_item","sap_datasphere","SAP Datasphere","official_name","","","Nome atual do serviço.","sap_source_115"
"sap_datasphere_alias_002_item","sap_datasphere","SAP Data Warehouse Cloud","previous_name","","","Nome anterior evoluído para SAP Datasphere.","sap_source_116"
"sap_datasphere_alias_003_item","sap_datasphere","SAP Datasphere in SAP Business Data Cloud","portfolio_positioning","","","Posicionamento atual como componente do SAP Business Data Cloud.","sap_source_115"
"sap_analytics_cloud_alias_001_item","sap_analytics_cloud","SAP Analytics Cloud","official_name","","","Nome oficial atual.","sap_source_131"
"sap_analytics_cloud_alias_002_item","sap_analytics_cloud","SAC","abbreviation","","","Abreviação comum.","sap_source_132"
"sap_analytics_cloud_alias_003_item","sap_analytics_cloud","SAP Analytics Cloud for Planning","solution_scope","","","Referência à capacidade de planejamento da plataforma.","sap_source_133"
"sap_signavio_alias_001_item","sap_signavio","SAP Signavio Process Transformation Suite","official_name","","","Nome oficial da suíte.","sap_source_149"
"sap_signavio_alias_002_item","sap_signavio","SAP Signavio","commercial_name","","","Nome abreviado do portfólio.","sap_source_149"
"sap_signavio_alias_003_item","sap_signavio","SAP Signavio Process Manager","component_name","","","Componente de modelagem de processos.","sap_source_150"
"sap_business_network_alias_001_item","sap_business_network","SAP Business Network","official_name","","","Nome oficial atual da rede.","sap_source_160"
"sap_business_network_alias_002_item","sap_business_network","Ariba Network","former_name","","","Nome anterior da rede de procurement; não é alias de todo o portfólio SAP Ariba.","sap_source_162"
"sap_business_network_alias_003_item","sap_business_network","Business Network","short_name","","","Forma abreviada usada pela SAP.","sap_source_160"
"sap_build_alias_001_item","sap_build","SAP Build","official_name","","","Nome oficial da oferta unificada.","sap_source_173"
"sap_build_alias_002_item","sap_build","SAP Build Apps","component_name","","","Desenvolvimento low-code de aplicações.","sap_source_174"
"sap_build_alias_003_item","sap_build","SAP Build Process Automation","component_name","","","Automação de processos e tarefas.","sap_source_175"
"sap_build_alias_004_item","sap_build","SAP Build Work Zone","component_name","","","Workspace e portal digital.","sap_source_176"
"sap_build_alias_005_item","sap_build","SAP Build Code","component_name","","","Desenvolvimento code-first com IA.","sap_source_177"
