"term_id","product_id","term","definition","relationship_to_product","source_id","language_code"
"sap_concur_term_travel_expense","sap_concur","Travel and expense","Processos corporativos de planejar viagens, reservar, registrar despesas, aprovar e reembolsar.","É o núcleo funcional do portfólio SAP Concur.","sap_source_001","pt-BR"
"sap_concur_term_expense_report","sap_concur","Expense report","Relatório que agrupa despesas para revisão, aprovação, lançamento e pagamento.","Objeto central do ciclo de Concur Expense.","sap_source_004","pt-BR"
"sap_concur_term_expenseit","sap_concur","ExpenseIt","Recurso que usa IA para extrair dados de recibos e pré-preencher despesas.","Complementa Concur Expense.","sap_source_004","pt-BR"
"sap_concur_term_joule","sap_concur","Joule","Assistente de IA da SAP integrado a aplicações e processos empresariais.","Em SAP Concur, orienta usuários e apoia tarefas de despesas e políticas.","sap_source_011","pt-BR"
"sap_concur_term_tmc","sap_concur","TMC","Travel Management Company, empresa que apoia operação e atendimento de viagens corporativas.","Concur Travel permite integração flexível com TMCs.","sap_source_002","pt-BR"
"sap_concur_term_gds","sap_concur","GDS","Global Distribution System usado para conteúdo e reservas de viagens.","Concur Travel pode trabalhar com GDSs.","sap_source_002","pt-BR"
"sap_concur_term_financial_posting","sap_concur","Financial posting","Transmissão de documentos financeiros ao ERP para lançamento e processamento.","Parte da integração SAP Concur com SAP S/4HANA.","sap_source_006","pt-BR"
"sap_concur_term_source_data_replication","sap_concur","Source data replication","Replicação de dados de origem, como objetos de custo e contas, para a integração.","Suporta integração com SAP S/4HANA.","sap_source_006","pt-BR"
"sap_concur_term_ocr","sap_concur","OCR","Reconhecimento óptico de caracteres para extrair dados de documentos.","Usado na captura de faturas e recibos.","sap_source_016","pt-BR"
"sap_concur_term_verify","sap_concur","Verify","Recurso adicional de auditoria automática de relatórios de despesas com IA.","Complementa Concur Expense.","sap_source_025","pt-BR"
"sap_concur_term_fedramp","sap_concur","FedRAMP","Programa dos EUA para avaliação e autorização de segurança de serviços em nuvem federais.","Base de requisitos do Concur Cloud for Public Sector.","sap_source_007","pt-BR"
"sap_concur_term_travel_to_reimburse","sap_concur","Travel-to-Reimburse","Processo integrado desde planejamento e reserva até despesas, lançamento e reembolso.","Cenário que conecta SAP Concur, SAP SuccessFactors e SAP S/4HANA sobre SAP BTP.","sap_source_005","pt-BR"
"sap_btp_term_global_account","sap_btp","Global account","Nível superior que representa o contrato com a SAP e contém diretórios e subaccounts.","Estrutura principal de governança e entitlements.","sap_source_037","pt-BR"
"sap_btp_term_directory","sap_btp","Directory","Unidade opcional para agrupar subaccounts e organizar responsabilidades.","Organiza o global account.","sap_source_037","pt-BR"
"sap_btp_term_subaccount","sap_btp","Subaccount","Unidade associada a uma região que hospeda ambientes, aplicações e serviços.","Limite central de configuração, segurança e consumo.","sap_source_037","pt-BR"
"sap_btp_term_region","sap_btp","Region","Local físico onde aplicações, dados ou serviços são hospedados.","Determina infraestrutura e disponibilidade de serviços.","sap_source_037","pt-BR"
"sap_btp_term_environment","sap_btp","Environment","Oferta PaaS ancorada no subaccount com runtimes e ferramentas específicas.","Inclui Cloud Foundry, Kyma e ABAP.","sap_source_037","pt-BR"
"sap_btp_term_entitlement","sap_btp","Entitlement","Direito contratado de usar um serviço ou plano.","É atribuído do global account aos subaccounts.","sap_source_037","pt-BR"
"sap_btp_term_quota","sap_btp","Quota","Quantidade máxima permitida para consumo de um recurso.","Controla limites de serviço.","sap_source_037","pt-BR"
"sap_btp_term_service_plan","sap_btp","Service plan","Variante de serviço que representa custos, benefícios e limites específicos.","Define como um serviço é consumido.","sap_source_037","pt-BR"
