"deployment_id","product_id","deployment_model","availability_description","limitations","source_id","last_verified_at"
"sap_concur_deployment_saas","sap_concur","SaaS cloud","SAP Concur Travel and Expense é descrito oficialmente como solução Software-as-a-Service; Concur Expense é cloud-based.","A disponibilidade exata de recursos e regiões depende do contrato e da oferta.","sap_source_020","2026-08-19"
"sap_concur_deployment_public_sector","sap_concur","Public sector cloud","Concur Cloud for Public Sector é hospedado em AWS GovCloud e opera em ambiente FedRAMP Authorized para necessidades do setor público dos EUA.","Escopo descrito para organizações e contratados elegíveis nos Estados Unidos.","sap_source_007","2026-08-19"
"sap_btp_deployment_public_cloud","sap_btp","Public cloud","Serviços SAP BTP são entregues em regiões de nuvem pública e podem usar infraestrutura SAP ou hyperscalers.","Disponibilidade de serviços varia por região e provedor.","sap_source_029","2026-08-19"
"sap_btp_deployment_multicloud","sap_btp","Multi-cloud","Fundação multicloud permite escolher entre diferentes infraestruturas, regiões e runtimes.","Nem todo serviço está disponível em toda região ou infraestrutura.","sap_source_037","2026-08-19"
"sap_btp_deployment_hybrid","sap_btp","Hybrid","Serviços cloud integram-se a sistemas on-premise e private cloud por conectividade segura.","Requer configuração e componentes compatíveis com o cenário.","sap_source_041","2026-08-19"
"sap_btp_deployment_cloud_foundry","sap_btp","Cloud Foundry environment","Ambiente PaaS para aplicações cloud-native poliglotas.","Disponibilidade regional e quotas dependem da conta e do plano.","sap_source_040","2026-08-19"
"sap_btp_deployment_kyma","sap_btp","Kyma environment","Runtime Kubernetes gerenciado para aplicações cloud-native e agentes.","Responsabilidades operacionais variam conforme o runtime.","sap_source_046","2026-08-19"
"sap_btp_deployment_abap","sap_btp","ABAP environment","Ambiente ABAP PaaS para extensões e aplicações SaaS.","Uso depende de entitlements e planos específicos.","sap_source_042","2026-08-19"
"sap_s4hana_sap_s_4hana_cloud_public_edition","sap_s4hana","SAP S/4HANA Cloud Public Edition","SaaS público multitenant gerenciado pela SAP, com processos pré-configurados e duas atualizações principais por ano.","Maior padronização; extensibilidade deve seguir regras cloud-compliant.","sap_source_057","2026-08-19"
"sap_s4hana_sap_s_4hana_cloud_private_edition","sap_s4hana","SAP S/4HANA Cloud Private Edition","Instância dedicada hospedada pela SAP ou hyperscaler, com serviços técnicos gerenciados.","Assinatura e obrigação de permanecer dentro da manutenção principal.","sap_source_057","2026-08-19"
