"licensing_id","product_id","licensing_model","public_price_available","price_value","currency","price_unit","description","source_id","last_verified_at"
"sap_concur_licensing_base","sap_concur","Base","true","7","USD","per_report","Preço aproximado de US$ 7 por relatório, usuários ilimitados e variação conforme compromisso mensal.","sap_source_008","2026-08-19"
"sap_concur_licensing_plus","sap_concur","Plus","true","11","USD","per_report","Preço aproximado de US$ 11 por relatório, usuários ilimitados; inclui Concur Expense, ExpenseIt, suporte e relatórios.","sap_source_008","2026-08-19"
"sap_concur_licensing_premium","sap_concur","Premium","false","","","custom_quote","Preço personalizado; inclui recursos avançados e pode incluir Concur Travel, ExpenseIt, suporte, Reporting e Intelligence.","sap_source_008","2026-08-19"
"sap_btp_licensing_payg","sap_btp","Pay-As-You-Go for SAP BTP","false","","","consumption","Modelo baseado em consumo; paga-se pelo uso além dos limites gratuitos, com duração contratual indicada de 3 a 12 meses.","sap_source_029","2026-08-19"
"sap_btp_licensing_enterprise","sap_btp","SAP BTP Enterprise Agreement","false","","","cloud_credit","Modelo de consumo com Cloud Credits, opções flexíveis e duração indicada de um ano.","sap_source_029","2026-08-19"
"sap_btp_licensing_subscription","sap_btp","Subscription","false","","","fixed_subscription","Serviços especificados são contratados por custo fixo em opções mensais pré-pagas.","sap_source_029","2026-08-19"
"sap_btp_licensing_free_tier","sap_btp","Free tier model","true","0","","within_free_limits","Planos gratuitos para aprender, prototipar e testar dentro dos limites publicados de cada serviço.","sap_source_029","2026-08-19"
"sap_btp_licensing_trial","sap_btp","SAP BTP trial","true","0","","90_day_trial","Oferta não comercial por 90 dias; aplicações, serviços, configurações e dados são encerrados ao final.","sap_source_044","2026-08-19"
"sap_s4hana_public_edition_subscription","sap_s4hana","Public Edition subscription","false","","","subscription","Assinatura SaaS; preço depende de escopo, usuários e contrato.","sap_source_054","2026-08-19"
"sap_s4hana_private_edition_subscription","sap_s4hana","Private Edition subscription","false","","","subscription","Assinatura de cloud privado e serviços gerenciados; preço sob consulta.","sap_source_055","2026-08-19"
"sap_s4hana_on_premise_perpetual_license","sap_s4hana","On-premise perpetual license","false","","","license","Licença perpétua com manutenção e infraestrutura separadas.","sap_source_057","2026-08-19"
"sap_s4hana_30_day_basic_trial","sap_s4hana","30-day basic trial","true","0","USD","30 days","Trial da Public Edition com escopo limitado, tenant compartilhado e dados de demonstração.","sap_source_076","2026-08-19"
"sap_successfactors_licensing_001_item","sap_successfactors","Subscription","false","","","subscription","Módulos e pacotes são contratados por assinatura; preço depende do escopo.","sap_source_080","2026-08-19"
"sap_successfactors_licensing_002_item","sap_successfactors","SAP HCM Base","false","","","per user","Pacote base por usuário, sujeito a mínimos e condições comerciais.","sap_source_080","2026-08-19"
"sap_successfactors_licensing_003_item","sap_successfactors","Joule Premium for HCM","false","","","AI units","Recursos premium de IA exigem pacote e AI Units conforme oferta.","sap_source_084","2026-08-19"
"sap_successfactors_licensing_004_item","sap_successfactors","30-day basic trial","true","0","USD","30 days","Trial gratuito compartilhado com escopo limitado.","sap_source_097","2026-08-19"
"sap_ariba_license_001_item","sap_ariba","Subscription","false","","","subscription","Soluções são contratadas por assinatura e escopo","sap_source_100","2026-08-19"
"sap_ariba_license_002_item","sap_ariba","SAP Ariba Sourcing standard edition","false","","","user per year","Preço sob consulta, em blocos de usuários e contratos de 1 a 5 anos","sap_source_113","2026-08-19"
"sap_ariba_license_003_item","sap_ariba","SAP Business Network standard account","true","0","USD","account","Conta padrão para fornecedores é gratuita conforme condições","sap_source_101","2026-08-19"
"sap_datasphere_license_001_item","sap_datasphere","SAP Business Data Cloud core capacity","false","","","capacity","SAP Datasphere é licenciado via capacidade core do SAP Business Data Cloud.","sap_source_128","2026-08-19"
"sap_datasphere_license_002_item","sap_datasphere","Flexible usage-based billing","false","","","usage-based","Cobrança flexível conforme condições comerciais.","sap_source_128","2026-08-19"
"sap_datasphere_license_003_item","sap_datasphere","30-day basic trial","true","0","USD","30 days","Trial básico gratuito por 30 dias.","sap_source_129","2026-08-19"
