"ai_capability_id","product_id","capability_name","capability_type","purpose","relationship_description","source_id","last_verified_at"
"sap_concur_ai_expenseit","sap_concur","ExpenseIt","machine_learning","Extrair dados de recibos e pré-preencher despesas.","Recurso complementar de Concur Expense.","sap_source_004","2026-08-19"
"sap_concur_ai_joule","sap_concur","Joule com Concur solutions","generative_ai_assistant","Orientar usuários, apoiar criação de despesas e aplicação de políticas.","Compatível com Concur Expense, Concur Invoice, Concur Request e outras soluções indicadas na página.","sap_source_011","2026-08-19"
"sap_concur_ai_hotel_itemization","sap_concur","Hotel Receipt Itemization","generative_ai","Extrair e itemizar linhas de comprovantes de hotel.","Requer o add-on ExpenseIt segundo a página oficial.","sap_source_012","2026-08-19"
"sap_concur_ai_travel_recommendations","sap_concur","AI-Assisted Recommendations","ai_recommendation","Recomendar voos e carros com base em preferências, política e conveniência.","Recurso de Concur Travel.","sap_source_013","2026-08-19"
"sap_concur_ai_policy_assistance","sap_concur","Policy Assistance","generative_ai","Gerar dicas de política personalizadas a partir dos documentos da empresa.","Recurso de Concur Expense configurável por administradores.","sap_source_014","2026-08-19"
"sap_concur_ai_intelligent_audit","sap_concur","Intelligent Audit","hybrid_ai_service","Combinar IA e auditores humanos para revisar recibos e conformidade.","Add-on de Concur Expense.","sap_source_015","2026-08-19"
"sap_concur_ai_verify","sap_concur","Verify","ai_audit","Verificar relatórios, duplicidades, anomalias e violações de política.","Add-on de Concur Expense para auditoria automatizada.","sap_source_025","2026-08-19"
"sap_concur_ai_request_assistant","sap_concur","Request Assistant","generative_ai","Estimar custos de viagens para solicitações e decisões de aprovação.","Recurso de Concur Request.","sap_source_024","2026-08-19"
"sap_concur_ai_expense_management_assistant","sap_concur","Expense Management Assistant","agentic_assistant","Automatizar o fluxo de despesas e apoiar políticas e regras de auditoria.","Assistente apresentado na página de travel and expense management.","sap_source_001","2026-08-19"
"sap_concur_ai_travel_assistant","sap_concur","Travel Assistant","agentic_assistant","Apoiar planejamento, aprovação, reserva e orientação proativa de política.","Assistente apresentado na página de travel and expense management.","sap_source_001","2026-08-19"
"sap_btp_ai_joule_studio","sap_btp","Joule Studio","low_code_agent_builder","Criar agentes, skills, aplicações e workflows visualmente.","Agentes executam sobre SAP AI Core e integram-se ao Joule.","sap_source_046","2026-08-19"
"sap_btp_ai_sdk","sap_btp","SAP Cloud SDK for AI","pro_code_agent_sdk","Criar agentes pro-code com controle de lógica e frameworks.","Oferece abstrações para modelos e Generative AI Hub.","sap_source_046","2026-08-19"
"sap_btp_ai_ai_core","sap_btp","SAP AI Core","ai_runtime","Executar operações de IA e agentes gerenciados.","Runtime com medição, tracing e segurança.","sap_source_046","2026-08-19"
"sap_btp_ai_genai_hub","sap_btp","Generative AI Hub","model_gateway","Acessar modelos, prompts, grounding, masking e filtros por API harmonizada.","Capacidade do SAP AI Core.","sap_source_046","2026-08-19"
"sap_btp_ai_rag","sap_btp","RAG com SAP HANA Cloud","retrieval_augmented_generation","Fundamentar respostas em vetores e dados empresariais.","Usa Vector Engine e integrações de dados.","sap_source_046","2026-08-19"
"sap_btp_ai_knowledge_graph","sap_btp","Knowledge Graph Engine","knowledge_graph","Conectar semanticamente dados empresariais para raciocínio.","Capacidade de SAP HANA Cloud usada por agentes.","sap_source_046","2026-08-19"
"sap_btp_ai_document_ai","sap_btp","SAP Document AI","document_intelligence","Extrair, classificar e enriquecer dados não estruturados.","Serviço de IA disponível no ecossistema SAP BTP.","sap_source_036","2026-08-19"
"sap_btp_ai_joule_dev","sap_btp","Joule for Developers","developer_assistant","Apoiar tarefas de código, processo e integração.","Embutido em ambientes de desenvolvimento SAP.","sap_source_036","2026-08-19"
"sap_btp_ai_integration_ai","sap_btp","AI-assisted integration","integration_ai","Apoiar descoberta, criação e otimização de integrações.","Capacidades de IA no SAP Integration Suite.","sap_source_035","2026-08-19"
