"component_id","product_id","component_name","component_type","description","purpose","is_internal_component","source_id","language_code"
"sap_concur_component_concur_expense","sap_concur","Concur Expense","separate_sap_product","Solução em nuvem para gestão de despesas corporativas.","Automatizar despesas do recibo ao reembolso.","false","sap_source_009","pt-BR"
"sap_concur_component_concur_travel","sap_concur","Concur Travel","separate_sap_product","Solução para planejar, reservar e gerenciar viagens corporativas com políticas e opções de fornecedores.","Gerenciar viagens e gastos relacionados.","false","sap_source_002","pt-BR"
"sap_concur_component_concur_invoice","sap_concur","Concur Invoice","separate_sap_product","Solução para automatizar captura, aprovação e processamento de faturas de fornecedores.","Apoiar contas a pagar e visibilidade de caixa.","false","sap_source_002","pt-BR"
"sap_concur_component_concur_request","sap_concur","Concur Request","separate_sap_product","Solução para solicitações e aprovações de gastos e viagens antes da realização.","Aplicar controles prévios ao gasto.","false","sap_source_024","pt-BR"
"sap_concur_component_expenseit","sap_concur","ExpenseIt","complementary_solution","Recurso adicional que usa IA para extrair dados de recibos e pré-preencher despesas.","Reduzir digitação de recibos.","false","sap_source_004","pt-BR"
"sap_concur_component_mobile_app","sap_concur","SAP Concur mobile app","service","Aplicativo móvel para tarefas de viagem, recibos, despesas e aprovações.","Permitir trabalho móvel.","true","sap_source_001","pt-BR"
"sap_concur_component_joule","sap_concur","Joule com Concur solutions","feature","Assistente de IA para orientação, criação de despesas e aplicação de políticas.","Simplificar interações e reduzir erros.","true","sap_source_011","pt-BR"
"sap_concur_component_intelligent_audit","sap_concur","Intelligent Audit","complementary_solution","Serviço adicional que combina auditores humanos e IA para revisão de recibos e conformidade.","Identificar uso indevido, desperdício e gastos não conformes.","false","sap_source_015","pt-BR"
"sap_concur_component_verify","sap_concur","Verify","complementary_solution","Add-on de auditoria automática de relatórios de despesas por IA.","Detectar duplicidades, anomalias e violações.","false","sap_source_025","pt-BR"
"sap_concur_component_expense_management_assistant","sap_concur","Expense Management Assistant","feature","Assistente que automatiza o fluxo de despesas e auxilia em políticas e regras de auditoria.","Apoiar o processo do recibo ao reembolso.","true","sap_source_001","pt-BR"
"sap_concur_component_travel_assistant","sap_concur","Travel Assistant","feature","Assistente para planejamento, aprovações, recomendações e orientação de política em viagens.","Apoiar planejamento e reserva de viagens.","true","sap_source_001","pt-BR"
"sap_btp_component_sap_build","sap_btp","SAP Build","separate_sap_product","Suite para desenvolvimento de aplicações, extensões, workspaces e automação.","Criar e automatizar soluções low-code e pro-code.","false","sap_source_039","pt-BR"
"sap_btp_component_joule_studio","sap_btp","Joule Studio","complementary_solution","Experiência AI-first para criar agentes, aplicações e workflows.","Criar agentes e skills empresariais.","false","sap_source_026","pt-BR"
"sap_btp_component_integration_suite","sap_btp","SAP Integration Suite","separate_sap_product","iPaaS para aplicações, APIs, eventos, dados, agentes e processos.","Integrar paisagens SAP e de terceiros.","false","sap_source_035","pt-BR"
"sap_btp_component_hana_cloud","sap_btp","SAP HANA Cloud","separate_sap_product","Banco de dados cloud gerenciado, in-memory, multi-tier e multimodelo.","Persistir e processar dados para aplicações e IA.","false","sap_source_045","pt-BR"
"sap_btp_component_ai_core","sap_btp","SAP AI Core","service","Runtime e serviços para operações de IA e execução gerenciada de agentes.","Executar e operacionalizar IA.","true","sap_source_046","pt-BR"
"sap_btp_component_cloud_foundry","sap_btp","Cloud Foundry environment","internal_component","Ambiente PaaS para aplicações cloud-native poliglotas.","Executar aplicações em múltiplas linguagens.","true","sap_source_040","pt-BR"
"sap_btp_component_kyma","sap_btp","Kyma environment","internal_component","Runtime Kubernetes gerenciado para extensões e aplicações cloud-native.","Executar workloads baseados em containers e Kubernetes.","true","sap_source_046","pt-BR"
"sap_btp_component_abap","sap_btp","SAP BTP ABAP environment","internal_component","Ambiente PaaS ABAP para extensões side-by-side e aplicações SaaS.","Desenvolver extensões e serviços ABAP Cloud.","true","sap_source_042","pt-BR"
"sap_btp_component_cockpit","sap_btp","SAP BTP cockpit","internal_component","Interface administrativa para contas, subcontas, entitlements, serviços e custos.","Administrar o landscape SAP BTP.","true","sap_source_037","pt-BR"
"sap_btp_component_identity","sap_btp","SAP Cloud Identity Services","separate_sap_product","Serviços de autenticação, provisionamento e federação de identidades.","Proteger acesso de usuários de plataforma e negócio.","false","sap_source_043","pt-BR"
"sap_btp_component_discovery_center","sap_btp","SAP Discovery Center","service","Catálogo de serviços, planos, missões e estimativas de consumo.","Descobrir, testar e planejar serviços SAP BTP.","true","sap_source_029","pt-BR"
"sap_btp_component_cloud_alm","sap_btp","SAP Cloud ALM","separate_sap_product","Operações, monitoramento e lifecycle management para cenários SAP.","Monitorar e operar aplicações e serviços.","false","sap_source_038","pt-BR"
"sap_s4hana_sap_hana","sap_s4hana","SAP HANA","database","Banco de dados in-memory e colunar que sustenta SAP S/4HANA.","Processar transações e analytics em tempo real.","true","sap_source_057","pt-BR"
"sap_s4hana_sap_fiori_launchpad","sap_s4hana","SAP Fiori launchpad","user_experience","Ponto central de acesso a aplicativos orientados por função.","Navegação, personalização e acesso a Joule.","true","sap_source_057","pt-BR"
"sap_s4hana_core_data_services","sap_s4hana","Core Data Services","semantic_data_layer","Modelos semânticos para dados, analytics e APIs.","Padronizar consumo de dados empresariais.","true","sap_source_057","pt-BR"
"sap_s4hana_finance","sap_s4hana","Finance","line_of_business","Processos financeiros integrados.","Gerir contabilidade, caixa, tesouraria e risco.","true","sap_source_054","pt-BR"
"sap_s4hana_sourcing_and_procurement","sap_s4hana","Sourcing and Procurement","line_of_business","Processos de compras e fornecedores.","Executar source-to-pay.","true","sap_source_065","pt-BR"
"sap_s4hana_sales","sap_s4hana","Sales","line_of_business","Processos comerciais e order-to-cash.","Gerir pedidos, entregas e faturamento.","true","sap_source_066","pt-BR"
"sap_s4hana_manufacturing","sap_s4hana","Manufacturing","line_of_business","Planejamento e execução fabril.","Converter demanda em produção.","true","sap_source_067","pt-BR"
"sap_s4hana_supply_chain","sap_s4hana","Supply Chain","line_of_business","Estoque, logística e planejamento integrado.","Coordenar fluxos de materiais.","true","sap_source_054","pt-BR"
"sap_s4hana_asset_management","sap_s4hana","Asset Management","line_of_business","Gestão do ciclo de vida de ativos.","Planejar e executar manutenção.","true","sap_source_068","pt-BR"
"sap_s4hana_service","sap_s4hana","Service","line_of_business","Gestão de serviços e atendimento.","Executar processos de serviço integrados.","true","sap_source_069","pt-BR"
"sap_s4hana_embedded_analytics","sap_s4hana","Embedded Analytics","analytics","KPIs, relatórios e análises incorporadas.","Analisar no contexto operacional.","true","sap_source_054","pt-BR"
"sap_s4hana_sap_central_business_configuration","sap_s4hana","SAP Central Business Configuration","implementation_service","Serviço para escopo e configuração da Public Edition.","Centralizar configuração do landscape cloud.","false","sap_source_058","pt-BR"
"sap_successfactors_component_001_item","sap_successfactors","Employee Central","internal_component","Sistema global de core HR.","Gerir dados e processos de pessoas","true","sap_source_083","pt-BR"
"sap_successfactors_component_002_item","sap_successfactors","Employee Central Payroll","separate_sap_product","Folha em nuvem integrada ao core HR.","Processar payroll","false","sap_source_084","pt-BR"
"sap_successfactors_component_003_item","sap_successfactors","Recruiting","internal_component","Recrutamento e applicant tracking.","Atrair e contratar","true","sap_source_085","pt-BR"
"sap_successfactors_component_004_item","sap_successfactors","Onboarding","internal_component","Jornadas de entrada e transição.","Integrar novos colaboradores","true","sap_source_086","pt-BR"
"sap_successfactors_component_005_item","sap_successfactors","Performance & Goals","internal_component","Metas e avaliações.","Gerir desempenho","true","sap_source_087","pt-BR"
"sap_successfactors_component_006_item","sap_successfactors","Compensation","internal_component","Planejamento de remuneração.","Recompensar pessoas","true","sap_source_088","pt-BR"
