"faq_id","product_id","difficulty_level","question","answer","source_ids","language_code"
"sap_concur_faq_001","sap_concur","basic","O que é SAP Concur?","SAP Concur solutions é um portfólio em nuvem para gerenciar viagens corporativas, despesas, solicitações e faturas, conectando dados e automatizando processos.","sap_source_001;sap_source_002","pt-BR"
"sap_concur_faq_002","sap_concur","basic","Quais são as principais soluções do portfólio SAP Concur?","As soluções oficialmente destacadas incluem Concur Expense, Concur Travel, Concur Invoice e Concur Request.","sap_source_002;sap_source_024","pt-BR"
"sap_concur_faq_003","sap_concur","basic","Para que serve o Concur Expense?","Ele automatiza o ciclo de despesas, desde captura de recibos e criação de relatórios até aprovação, lançamento financeiro e reembolso.","sap_source_004","pt-BR"
"sap_concur_faq_004","sap_concur","basic","Para que serve o Concur Travel?","Ele apoia planejamento e reserva de viagens corporativas, aplicação de políticas, alterações e visibilidade de gastos.","sap_source_003","pt-BR"
"sap_concur_faq_005","sap_concur","basic","Para que serve o Concur Invoice?","Ele automatiza captura, validação, aprovação e processamento de faturas de fornecedores.","sap_source_016","pt-BR"
"sap_concur_faq_006","sap_concur","intermediate","SAP Concur possui aplicativo móvel?","Sim. O SAP Concur mobile app permite capturar recibos, gerenciar viagens e relatórios, além de revisar e aprovar despesas em movimento.","sap_source_001;sap_source_004","pt-BR"
"sap_concur_faq_007","sap_concur","intermediate","Como SAP Concur ajuda na conformidade?","O portfólio aplica políticas, alerta sobre problemas, oferece regras e recursos de auditoria e usa IA para identificar anomalias e violações.","sap_source_001;sap_source_025","pt-BR"
"sap_concur_faq_008","sap_concur","intermediate","SAP Concur integra-se ao SAP S/4HANA?","Sim. A integração oficial suporta replicação de dados de origem e lançamento financeiro para simplificar processamento e reembolso.","sap_source_006","pt-BR"
"sap_concur_faq_009","sap_concur","intermediate","Qual é o papel do SAP BTP no cenário SAP Concur?","SAP BTP funciona como base de integração do processo Travel-to-Reimburse, conectando SAP Concur, SAP SuccessFactors e SAP S/4HANA.","sap_source_005","pt-BR"
"sap_concur_faq_010","sap_concur","intermediate","SAP Concur oferece APIs?","Sim. A SAP documenta APIs abertas e conectores para integrações prontas e personalizadas.","sap_source_010;sap_source_002","pt-BR"
"sap_concur_faq_011","sap_concur","specific","O que é ExpenseIt?","ExpenseIt é um recurso complementar que usa IA para extrair dados de recibos e pré-preencher despesas no Concur Expense.","sap_source_004","pt-BR"
"sap_concur_faq_012","sap_concur","specific","Como Joule é usado no SAP Concur?","Joule oferece orientação em linguagem natural, apoia criação de despesas, ajuda a aplicar políticas e reduz erros e devoluções de relatórios.","sap_source_011","pt-BR"
"sap_concur_faq_013","sap_concur","specific","Há preços públicos para SAP Concur?","A página oficial nos Estados Unidos informa aproximadamente US$ 7 por relatório no plano Base e US$ 11 no Plus; o Premium usa preço personalizado. Os valores podem variar conforme o compromisso mensal.","sap_source_008","pt-BR"
"sap_concur_faq_014","sap_concur","specific","Qual modelo de deployment é documentado?","SAP Concur Travel and Expense é uma oferta SaaS. Para o setor público dos EUA, a SAP também documenta Concur Cloud for Public Sector em AWS GovCloud e ambiente FedRAMP Authorized.","sap_source_020;sap_source_007","pt-BR"
"sap_concur_faq_015","sap_concur","specific","Quais evidências públicas de segurança e compliance foram encontradas?","Foram verificadas referências oficiais a SSO e políticas de senha, SOC 2 Type 2, PCI DSS, ENS Level HIGH e ambiente FedRAMP para a oferta de setor público.","sap_source_017;sap_source_019;sap_source_020;sap_source_018;sap_source_007","pt-BR"
"sap_btp_faq_001","sap_btp","basic","O que é SAP BTP?","SAP Business Technology Platform é a plataforma em nuvem da SAP que reúne desenvolvimento, automação, integração, dados, analytics e inteligência artificial.","sap_source_028","pt-BR"
"sap_btp_faq_002","sap_btp","basic","SAP BTP foi substituído pela SAP Business AI Platform?","Não como simples substituição. A SAP informa que as capacidades do SAP BTP agora são uma parte central da SAP Business AI Platform, enquanto o nome SAP BTP continua na página e documentação oficiais.","sap_source_026;sap_source_030","pt-BR"
