"source_id","source_title","source_url","source_domain","source_type","official_sap_source","publication_date","updated_date","accessed_at","relevant_section","source_language","notes"
"sap_source_001","Travel and Expense Management Software | SAP Concur Solutions","https://www.sap.com/products/financial-management/travel-and-expense-management.html","sap.com","product_page","true","","","2026-08-19","Visão geral; capacidades; assistentes; integração; mobile","en-US",""
"sap_source_002","Spend Management Software for Travel, Expense, Invoice | SAP Concur","https://www.concur.com/","concur.com","product_page","true","","","2026-08-19","Portfólio atual; Concur Expense; Travel; Invoice; integrações","en-US","Domínio oficial SAP Concur, vinculado pela página SAP do produto."
"sap_source_003","Summarizing Key Capabilities of Concur Travel & Expense","https://learning.sap.com/courses/discovering-travel-expense-solutions/summarizing-key-capabilities-of-concur-travel-expense-1","learning.sap.com","help_documentation","true","","","2026-08-19","Capacidades de Expense e Travel; mobile; conectores","en-US",""
"sap_source_004","Introduction to Concur Expense","https://learning.sap.com/courses/concur-expense-learning-journey-for-customer-end-users/introduction-to-concur-expense_ce973f2c-5142-410e-a694-004cf9ab43ea","learning.sap.com","help_documentation","true","","","2026-08-19","Ciclo de despesas; mobile; ExpenseIt","en-US",""
"sap_source_005","Maximizing Value by Pairing SAP Concur with SAP BTP","https://learning.sap.com/courses/discovering-travel-expense-solutions/maximizing-value-by-pairing-sap-concur-with-the-business-technology-platform-2","learning.sap.com","integration_documentation","true","","","2026-08-19","Travel-to-Reimburse; SAP BTP; SuccessFactors; S/4HANA; identidade","en-US",""
"sap_source_006","Integration with SAP Concur","https://help.sap.com/docs/SAP_S4HANA_ON-PREMISE/8308e6d301d54584a33cd04a9861bc52/c682b0c107a5447fa2c0885134ad5f8c.html","help.sap.com","integration_documentation","true","","","2026-08-19","Lançamento, processamento e reembolso com SAP S/4HANA","en-US",""
"sap_source_007","Analyzing the Value of Concur Travel & Expense for Industries","https://learning.sap.com/courses/discovering-travel-expense-solutions/analyzing-the-value-of-concur-travel-expense-for-industries-1","learning.sap.com","industry_page","true","","","2026-08-19","Setores regulados; setor público; FedRAMP; indústrias","en-US",""
"sap_source_008","SAP Concur Pricing for Expense, Travel, Invoice Solutions","https://www.concur.com/about/pricing","concur.com","pricing_page","true","","","2026-08-19","Planos Base, Plus e Premium; preços e condições","en-US","Domínio oficial SAP Concur, vinculado pela página SAP do produto."
"sap_source_009","Business Expense Management Software + Automation","https://www.concur.com/products/concur-expense","concur.com","product_page","true","","","2026-08-19","Concur Expense; cloud; automação; preços","en-US","Domínio oficial SAP Concur, vinculado pela página SAP do produto."
"sap_source_010","SAP Concur Integration and Extensibility","https://pages.community.sap.com/topics/concur-extensibility","pages.community.sap.com","official_community_content","true","","","2026-08-19","APIs; integrações SAP; Analytics Cloud; Travel-to-Reimburse","en-US",""
"sap_source_011","Concur solutions, Joule","https://www.sap.com/products/spend-management/concur-solutions-joule.html","sap.com","feature_page","true","","","2026-08-19","Joule; finalidade; compatibilidade; licenciamento de IA","en-US",""
"sap_source_012","Concur Expense, hotel receipt itemization","https://www.sap.com/products/spend-management/concur-expense-hotel-receipt-itemization.html","sap.com","feature_page","true","","","2026-08-19","Itemização por GenAI; ExpenseIt; preço sob consulta","en-US",""
"sap_source_013","Concur Travel, AI-assisted recommendations","https://www.sap.com/products/spend-management/concur-travel-aiassisted-recommendations.html","sap.com","feature_page","true","","","2026-08-19","Recomendações de voo e carro; política; preço sob consulta","en-US",""
"sap_source_014","Concur Expense, Policy Assistance","https://www.sap.com/products/spend-management/concur-expense-policy-assistance.html","sap.com","feature_page","true","","","2026-08-19","Dicas de política geradas por IA","en-US",""
"sap_source_015","Concur Expense, Intelligent Audit","https://www.sap.com/products/spend-management/concur-expense-intelligent-audit.html","sap.com","feature_page","true","","","2026-08-19","Auditoria com IA e auditores humanos","en-US",""
"sap_source_016","Concur Invoice, invoice capture","https://www.sap.com/products/spend-management/concur-invoice-invoice-capture.html","sap.com","feature_page","true","","","2026-08-19","OCR; captura; validação; aprovação; preço sob consulta","en-US",""
"sap_source_017","Key Concur Expense Features","https://help.sap.com/docs/SAP_CONCUR_SECURITY/3c0f9f91f95f48779c232e2492b1a8a4/b76b9fcf768841cf8ca75c8f539e3a4d.html","help.sap.com","security_documentation","true","","","2026-08-19","Políticas de senha e SSO","en-US",""
"sap_source_018","Compliance Document Finder | SAP Trust Center","https://www.sap.com/about/trust-center/certification-compliance/compliance-finder.html","sap.com","security_documentation","true","","","2026-08-19","ENS Level HIGH para SAP Concur","en-US",""
"sap_source_019","SAP Concur SOC 2 Audit Report 2025","https://www.sap.com/about/trust-center/certification-compliance/sap-concur-soc-2-audit-report-2025-h1.html","sap.com","security_documentation","true","2025-01-01","","2026-08-19","SOC 2 Type 2; período e princípios cobertos","en-US",""
"sap_source_020","SAP Concur Travel and Expense 2025 EMEA PCI Attestation","https://www.sap.com/about/trust-center/certification-compliance/sap-concur-pci-emea-2025.html","sap.com","security_documentation","true","2025-09-12","","2026-08-19","SaaS; aplicações; PCI DSS; data do atestado","en-US",""
"sap_source_021","Concur Expense","https://help.sap.com/docs/concur-expense","help.sap.com","help_documentation","true","","","2026-08-19","Documentação oficial do produto","en-US",""
"sap_source_022","Configuring Payment Card Integration","https://help.sap.com/docs/concur-expense/concur-expense-professional-edition-administration-guides/configuring-payment-card-integration","help.sap.com","integration_documentation","true","","","2026-08-19","Integração com parceiros de cartões via APIs","en-US",""
